"#","Schedule Due","Kode SL","Snfg","Nama Fg","Jumlah Pcs","Qty Release","Qty Not Hit","Type","Remark","Level 1","Level 2","Level 3","Actions"
"358","2022-06-17","SB1 ","TC-RR3LLF03-W/H0026","Wardah Refill Lightening Powder Foundation Light Feel 03 Sheer Pink 12 g","27360","27204","156","NI"," karena bulk habis","Loss MPQ","Bulk habis","Hilang karena proses",""
"359","2022-06-17","AMA1 ","LB-LMPB-EM/H0007","Emina Lip Mask 9 gr (Blister Version)","4104","4060","44","NI","Bulk habis","Loss MPQ","Bulk habis","Hilang karena proses",""
"360","2022-06-17","AAO1 ","L-HSLWI-MO/H0008","Make Over Hydrastay Smooth Lip Whip C09 Admire 6.5 g","360","336","24","NI","Bulk habis","Loss MPQ","Bulk habis","Hilang karena proses",""
"361","2022-06-17","YN1 ","FA-EGH-W/H0002","Wardah Exclusive Glowing Highlighter 6.5 g","2016","1789","227","NI","Di close karena bulk habis","Loss MPQ","Bulk habis","Hilang karena proses",""
"362","2022-06-17","(not set)","TWC-CLFTC-W/BSH0002","Wardah Colorfit Velvet Powder Foundation 23W Warm Ivory 11 g","612","455","157","NI","Di close karena bulk habis","Loss MPQ","Bulk habis","Hilang karena proses",""
"363","2022-06-17","VM2 ","TC-RRE01-W/H0008","Wardah Refill Exclusive Two Way Cake 01 Sheer Pink 12 g","7515","7254","261","NI","Di close karena bulk habis","Loss MPQ","Bulk habis","Hilang karena proses",""
"364","2022-06-17","VP1 ","L-REMO36-W/H0005","Wardah Exclusive Moist Lipstick 36 Sugary Pink 3.5 g","9672","9581","91","NI","Bulk habis","Loss MPQ","Bulk habis","Hilang karena proses",""
"365","2022-06-17","WV3 ","FT-LFT-W/H0050","Wardah Lightening Face Toner 125 ml","23640","22752","888","NI","Bulk Habis","Loss MPQ","Bulk habis","Hilang karena proses",""
"366","2022-06-17","AEF1 ","L-EMC05DP-W/H0001","Wardah Exclusive Matte Lip Cream 05 Speachless 4g","46080","10944","35136","NH,NI","due sudah lewat di BS karena efek domino dari jadwal sebelumnya","Leadtime","Leadtime &gt; Standard","Select Kendala",""
"367","2022-06-17","(not set)","TWC-CLFTG-W/BSH0001","Wardah Colorfit Velvet Powder Foundation 42N Neutral Sand 11 g","360","263","97","NI","Di close karena bulk habis","Loss MPQ","Bulk habis","Hilang karena proses",""
"368","2022-06-17","tr2 ","LB-EVLNGT-W4G/H0013","Wardah Everyday Moisture Lip Nutrition Green Tea 4 g","4440","4231","209","NI","Bulk habis","Loss MPQ","Bulk habis","Hilang karena proses",""
"369","2022-06-17","aec2 ","BO-DUA-MO/H0002","MAKE OVER Powerstay Suede Blush 10 Magnetic Rush 6 g","4156","576","3580","NH,NI","due sudah lewat , optimasi performance bulk","Leadtime","Leadtime &gt; Standard","Select Kendala",""
"370","2022-06-17","AN1 ","L-MLCB-OMG/H0044","OMG OH MY GLAM Matte Kiss Lip Cream 02 Juicy 3.5 g","26916","25824","1092","NI","Bulk Habis","Loss MPQ","Bulk habis","Hilang karena proses",""
"371","2022-06-17","VM1 ","TC-RRE01-W/H0007","Wardah Refill Exclusive Two Way Cake 01 Sheer Pink 12 g","7515","7323","192","NI","Di close karena bulk habis","Loss MPQ","Bulk habis","Hilang karena proses",""
"372","2022-06-17","ADE1 ","F-EVLLF02-W/H0007","Wardah Everyday Luminous Liquid Foundation – 02 Light Beige 35 ml","24588","24516","72","NI","Bulk Habis","Loss MPQ","Bulk habis","Hilang karena proses",""
"373","2022-06-17","BK1 ","S-P1SRL-P450/H0005","Putri SPA Relaxing Shampoo (Lavender) 450 ML (Pc(s))","108","84","24","NI","Bulk Habis","Loss MPQ","Bulk habis","Hilang karena proses",""
"374","2022-06-17","VM3 ","TC-RRE01-W/H0009","Wardah Refill Exclusive Two Way Cake 01 Sheer Pink 12 g","7515","7322","193","NI","Di close karena bulk habis","Loss MPQ","Bulk habis","Hilang karena proses",""
"375","2022-06-17","RQ1 ","M-LNCN1-W/H0018","Wardah Lightening Night Cream Advanced Niacinamide 20 mL","46136","45936","200","NI","BUK HABIS","Loss MPQ","Bulk habis","Hilang karena proses",""
"376","2022-06-17","AZ2 ","L-MLCN-OMG/H0014","OMG Oh My Glam Matte Kiss Lip Cream 14 Cappuccino 3.5 g","21324","","21324","NI","(not set)","(not set)","(not set)","(not set)",""
"377","2022-06-17","(not set)","TWC-CLFTC-W/BSH0003","Wardah Colorfit Velvet Powder Foundation 23W Warm Ivory 11 g","648","553","95","NI","Di close karena bulk habis","Loss MPQ","Bulk habis","Hilang karena proses",""
"378","2022-06-17","acj1 ","F-CLCME-W/H0003","Wardah Colorfit Matte Foundation 33W Olive Beige 25 ml","7874","7626","248","NI","Bulk Habis","Loss MPQ","Bulk habis","Hilang karena proses",""
"379","2022-06-17","AAT1 ","L-HSLWK-MO/H0008","Make Over Hydrastay Smooth Lip Whip C11 Suave 6.5 g","360","359","1","NI","Packaging reject","Loss MPQ","Packaging habis","Reject &gt; standar",""
"380","2022-06-17","SA2 ","TC-RR3LLF02-W/H0034","Wardah Refill Lightening Powder Foundation Light Feel 02 Golden Beige 12 g","26208","26167","41","NI","Di close karena bulk habis","Loss MPQ","Bulk habis","Hilang karena proses",""
"381","2022-06-17","AS2 ","L-MLCG-OMG/H0043","OMG OH MY GLAM Matte Kiss Lip Cream 07 Delight 3.5 g","11976","","11976","NH,NI","(not set)","(not set)","(not set)","(not set)",""
"382","2022-06-17","(not set)","TWC-CLFTC-W/BSH0004","Wardah Colorfit Velvet Powder Foundation 23W Warm Ivory 11 g","828","795","33","NI","Di close karena bulk habis","Loss MPQ","Bulk habis","Hilang karena proses",""
"383","2022-06-17","V2462  ","FM-MPO-EM/H0008","Emina Masquerade Face Mask Pomegranate 23 g","25000","11827","13173","NI","Bulk Habis","Loss MPQ","Bulk habis","Hilang karena proses",""
"384","2022-06-17","(not set)","TC-R3LLF04-W/BSH0004","Wardah Lightening Powder Foundation Light Feel 04 Natural 12 g","900","827","73","NI","Di close karena bulk habis","Loss MPQ","Bulk habis","Hilang karena proses",""
"385","2022-06-17","(not set)","TC-R3LLF04-W/BSH0003","Wardah Lightening Powder Foundation Light Feel 04 Natural 12 g","684","526","158","NI","Di close karena bulk habis","Loss MPQ","Bulk habis","Hilang karena proses",""
"386","2022-06-17","AEV1 ","SRM-RWSPTEN1-W/H0006","Wardah Crystal Secret Pure Treatment Essence 50 ml","16325","16275","50","NI","M-SM01-KA/H0029","Loss MPQ","Bulk habis","Hilang karena proses",""
"387","2022-06-17","UZ1 ","LT-MPSM-EM5.5ML/H0004","Emina Magic Potion 03 Smitten 5.5 ml","8205","8064","141","NI","Bulk Habis","Loss MPQ","Bulk habis","Hilang karena proses",""
"388","2022-06-17","ACO1 ","M-SM01-KA/H0029","Kahf Triple Protection Sunscreen Moisturizer 30 ml","11754","11664","90","NI","M-SM01-KA/H0029","Loss MPQ","Bulk habis","Hilang karena proses",""
"389","2022-06-17","(not set)","TWC-CLFTD-W/BSH0008","Wardah Colorfit Velvet Powder Foundation 32N Neutral Beige 11 g","576","459","117","NI","Di close karena bulk habis","Loss MPQ","Bulk habis","Hilang karena proses",""
