"#","Schedule Due","Kode SL","Snfg","Nama Fg","Jumlah Pcs","Qty Release","Qty Not Hit","Type","Remark","Level 1","Level 2","Level 3","Actions"
"349","2022-06-10","tw3 ","FA-PFMS-MO50ML/H0025","MAKE OVER Powerstay Fix &amp; Matte Makeup Setting Spray 50 ml","1845","1800","45","NI","Bulk Habis","Loss MPQ","Bulk habis","Hilang karena proses",""
"350","2022-06-10","yz1 ","L-CUM04-W/H0009","Wardah Colorfit Ultralight Matte Lipstick 04 Mocca Brown 3.6 g","4752","4471","281","NI","Bulk Habis","Loss MPQ","Bulk habis","Hilang karena proses",""
"351","2022-06-10","aaz1 ","L-CUMKORB-W/H0018","Wardah Colorfit Ultralight Matte Lipstick 10 Stunning Seoul 3.6 g","4752","4521","231","NI","Bulk Habis","Loss MPQ","Bulk habis","Hilang karena proses",""
"352","2022-06-10","hr2 ","TC-PMW33-MO12G/H0019","MAKE OVER Powerstay Matte Powder Foundation W33 Honey Beige 12 g","1200","1200","","NH","Efek domino","Leadtime","Leadtime &gt; Standard","Efek Domino Pendingan",""
"353","2022-06-10","YI1 ","L-CUM06-W/H0005","Wardah Colorfit Ultralight Matte Lipstick 06 Punch Fuchsia 3.6 g","4752","4679","73","NI","Bulk habis","Loss MPQ","Bulk habis","Hilang karena proses",""
"354","2022-06-10","oi1  ","MY-CONLBBL02-W/H0011","Malaysia Wardah Lightening Liquid Concealer 02 Beige 7 g (Blister)","4536","4464","72","NI","Bulk Habis","Loss MPQ","Bulk habis","Hilang karena proses",""
"355","2022-06-10","alz1 ","L-EMC13-W4GR/H0010","Wardah Exclusive Matte Lip Cream 13 Fruit Punch 4 gr (Pc(s))","18432","18432","","NH","(not set)","(not set)","(not set)","(not set)",""
"356","2022-06-10","cb1 ","L-CUMKORA-W/H0004","Wardah Colorfit Ultralight Matte Lipstick 09 Romantic Namsan 3.6 g","4752","4355","397","NI","Bulk Habis","Loss MPQ","Bulk habis","Hilang karena proses",""
"357","2022-06-10","aay2 ","L-HSLWD-MO/H0004","Make Over Hydrastay Smooth Lip Whip C04 Real 6.5 g","360","","360","NH,NI","(not set)","(not set)","(not set)","(not set)",""
"358","2022-06-10","fu1 ","REM-RBSMWN1-EM/H0025","Emina Bright Stuff Micellar Water 100 ml","9703","9184","519","NI","diclose bulk habis","Loss MPQ","Bulk habis","Hilang karena proses",""
"359","2022-06-10","xh1 ","F-PTCMCN30-MO/H0008","MAKE OVER Powerstay Total Cover Matte Cream Foundation N30 Natural Beige 12 g","216","","216","NH,NI","MPQ Not In Full","Loss MPQ","Bulk habis","Hilang karena proses",""
