"Internal Reference","Korporat Code","Name","Last Updated on","General State","Copackaging Routing Type/Display Name","MPS Lead Time","Ppc State"
"00421","CLC-CCS5.6LRB-IX100M","IX CC Shift 5.6 Light Red Brown, 100 ml","2022-06-05 21:03:06","Confirmed","","2","Confirmed"
"00422","CLC-CCS5.73LAB-IX100","IX CC Shift 5.73 Light Almond Brown, 100 ml","2022-06-05 21:03:09","Confirmed","","2","Confirmed"
"00411","CLC-CCS6NDBL-IX100ML","IX CC Shift 6 Natural Dark Blond, 100 ml","2022-06-05 21:03:12","Confirmed","","2","Confirmed"
"00434","CLC-CCS6003DWNB-IX10","IX CC Shift 6.003 Dark Warm Natural Blond, 100 ml","2022-06-05 21:03:18","Confirmed","","2","Confirmed"
"00423","CLC-CCS6.01DANB-IX10","IX CC Shift 6.01 Dark Ash Natural Blond, 100 ml","2022-06-05 21:03:23","Confirmed","","2","Confirmed"
"00424","CLC-CCS6.03SNDB-IX10","IX CC Shift 6.03 Silk Natural Dark Blond, 100 ml","2022-06-05 21:03:26","Confirmed","","2","Confirmed"
"00425","CLC-CCS6.11DMB-IX100","IX CC Shift 6.11 Dark Mat Blond, 100 ml","2022-06-05 21:03:29","Confirmed","","2","Confirmed"
"00426","CLC-CCS6.2DVB-IX100M","IX CC Shift 6.2 Dark Violet Blond, 100 ml","2022-06-05 21:03:35","Confirmed","","2","Confirmed"
"00429","CLC-CCS6.3DGB-IX100M","IX CC Shift 6.3 Dark Golden Blond, 100 ml","2022-06-05 21:03:38","Confirmed","","2","Confirmed"
"00427","CLC-CCS6.32DBB-IX100","IX CC Shift 6.32 Dark Beige Blond, 100 ml","2022-06-05 21:03:42","Confirmed","","2","Confirmed"
"00428","CLC-CCS6.35DCB-IX100","IX CC Shift 6.35 Dark Chocolate Blond, 100 ml","2022-06-05 21:03:46","Confirmed","","2","Confirmed"
"00431","CLC-CCS6.4DCB-IX100M","IX CC Shift 6.4 Dark Copper Blond, 100 ml","2022-06-05 21:03:49","Confirmed","","2","Confirmed"
"00430","CLC-CCS6.43DCGB-IX10","IX CC Shift 6.43 Dark Copper Gold Blond, 100 ml","2022-06-05 21:03:54","Confirmed","","2","Confirmed"
"00432","CLC-CCS6.5DMB-IX100M","IX CC Shift 6.5 Dark Mahogany Blond, 100 ml","2022-06-05 21:03:58","Confirmed","","2","Confirmed"
"00433","CLC-CCS6.6DRB-IX100M","IX CC Shift 6.6 Dark Red Brown, 100 ml","2022-06-05 21:04:02","Confirmed","","2","Confirmed"
"00412","CLC-CCS7NBL-IX100ML","IX CC Shift 7 Natural Blond, 100 ml","2022-06-05 21:04:07","Confirmed","","2","Confirmed"
"00435","CLC-CCS7.01ANB-IX100","IX CC Shift 7.01 Ash Natural Blond, 100 ml","2022-06-05 21:04:13","Confirmed","","2","Confirmed"
"00436","CLC-CCS7.03SNB-IX100","IX CC Shift 7.03 Silk Natural Blond, 100 ml","2022-06-05 21:04:17","Confirmed","","2","Confirmed"
"00440","CLC-CCS7.3GB-IX100ML","IX CC Shift 7.3 Golden Blond, 100 ml","2022-06-05 21:04:22","Confirmed","","2","Confirmed"
"00437","CLC-CCS7.32BB-IX100M","IX CC Shift 7.32 Beige Blond, 100 ml","2022-06-05 21:04:26","Confirmed","","2","Confirmed"
"00438","CLC-CCS7.33IGB-IX100","IX CC Shift 7.33 Intense Golden Blond, 100 ml","2022-06-05 21:04:29","Confirmed","","2","Confirmed"
"00439","CLC-CCS7.35CB-IX100M","IX CC Shift 7.35 Chocolate Blond, 100 ml","2022-06-05 21:04:33","Confirmed","","2","Confirmed"
"00441","CLC-CCS7.43CGB-IX100","IX CC Shift 7.43 Copper Gold Blond, 100 ml","2022-06-05 21:04:39","Confirmed","","2","Confirmed"
