"Internal Reference","Korporat Code","Name","Last Updated on","General State","Copackaging Routing Type/Display Name","MPS Lead Time","Ppc State"
"BOTP-HSNAHREV14-P","BOTP-HSNAHREV14-P","Botol Print Hair Spray NA Hijau Rev-1  450 ml Putri","2022-06-05 12:57:28","Confirmed","","5","Confirmed"
"BOTP-HSNANHREV1-P","BOTP-HSNANHREV1-P","Botol Print Hair Spray NA Normal Hair Rev-1 450 ml Putri","2022-06-05 12:57:38","Confirmed","","5","Confirmed"
"BOTP-HSNANBREV1-P","BOTP-HSNANBREV1-P","Botol Print Hair Spray Normal (biru) Rev-1 200 ml Putri","2022-06-05 12:58:56","Confirmed","","5","Confirmed"
"BOTP-HTGIN450RE-P","BOTP-HTGIN450RE-P","Botol Print Hair Tonic Ginseng 450 ml rev-1 Putri","2022-06-05 13:00:17","Confirmed","","5","Confirmed"
"BOTP-HTG200N_L-P","BOTP-HTG200N_L-P","Botol Print Hair Tonic Ginseng Elm. putri 200 ml","2022-06-05 13:00:28","Confirmed","","5","Confirmed"
"BOTP-HTH-P200","BOTP-HTH-P200","Botol Print Hair Tonic Hijau 200 ml Elm. putri","2022-06-05 13:00:51","Confirmed","","5","Confirmed"
"BOTP-HTH-450","BOTP-HTH-450","Botol Print Hair Tonic Hijau 450 ml Elm. putri","2022-06-05 13:01:01","Confirmed","","5","Confirmed"
"BOTP-HTK-P200","BOTP-HTK-P200","Botol Print Hair Tonic Kuning 200 ml Elm. putri","2022-06-05 13:01:13","Confirmed","","5","Confirmed"
"BOTP-HTNKREV120-P","BOTP-HTNKREV120-P","Botol Print Hair Tonic Normal Kuning Rev-1 200 ml Putri","2022-06-05 13:02:03","Confirmed","","5","Confirmed"
"BOTP-HTNTOH200R-P","BOTP-HTNTOH200R-P","Botol Print Hair Tonic Normal To Oily  Hijau Rev-1 200 ml P","2022-06-05 13:02:13","Confirmed","","5","Confirmed"
"BOTP-HTNTOH450R-P","BOTP-HTNTOH450R-P","Botol Print Hair Tonic Normal To Oily Hijau Rev-1 450 ml Pu","2022-06-05 13:02:25","Confirmed","","5","Confirmed"
"BOTP-HTGREE200N-P","BOTP-HTGREE200N-P","Botol Print Hair Tonic Normal to Oily (Hijau) Elm.putri 200","2022-06-05 13:02:37","Confirmed","","5","Confirmed"
"BOTP-HTSLEREV14-P","BOTP-HTSLEREV14-P","Botol Print Hair Tonic SPA Lemon Rev-1 450 ml Putri","2022-06-05 13:03:43","Confirmed","","5","Confirmed"
"BOTP-HTSPAL200N-P","BOTP-HTSPAL200N-P","Botol Print Hair Tonic Spa Lavender 200 ml Elm. putri","2022-06-05 13:03:55","Confirmed","","5","Confirmed"
"BOTP-HTSPAL450N-P","BOTP-HTSPAL450N-P","Botol Print Hair Tonic Spa Lavender 450 ml Elm. putri","2022-06-05 13:04:06","Confirmed","","5","Confirmed"
"BOTP-HTSPALREV1-P","BOTP-HTSPALREV1-P","Botol Print Hair Tonic Spa Lavender Rev-1  200 ml Putri","2022-06-05 13:04:18","Confirmed","","5","Confirmed"
"BOTP-HTSL450REV-P","BOTP-HTSL450REV-P","Botol Print Hair Tonic Spa Lavender Rev-1 450ml Putri","2022-06-05 13:04:29","Confirmed","","5","Confirmed"
"BOTP-HTSPAL2REV-P","BOTP-HTSPAL2REV-P","Botol Print Hair Tonic Spa Lemon Rev-1 200 ml Putri","2022-06-05 13:05:01","Confirmed","","5","Confirmed"
"BOTP-HTGIN200RE-P","BOTP-HTGIN200RE-P","Botol Print Hair Tonic ginseng Rev 1  200 ml Putri","2022-06-05 13:05:12","Confirmed","","5","Confirmed"
"BOTP-HTADREV120-P","BOTP-HTADREV120-P","Botol Print Hair tonic Anti Dandruf REv-1 200ml Putri","2022-06-05 13:05:24","Confirmed","","5","Confirmed"
"BOTP-HTNK450REV-P","BOTP-HTNK450REV-P","Botol Print Hair tonic normal kuning 450 ml rev-1 Putri","2022-06-05 13:05:35","Confirmed","","5","Confirmed"
"BOTP-PISC240-IX","BOTP-PISC240-IX","Botol Print Incredible Smooth Conditiner 240 ml IX","2022-06-05 13:06:21","Confirmed","","5","Confirmed"
"BOTP-PISC750-IX","BOTP-PISC750-IX","Botol Print Incredible Smooth Conditioner 750 ml IX","2022-06-05 13:06:32","Confirmed","","5","Confirmed"
"BOTP-PISCS240-IX","BOTP-PISCS240-IX","Botol Print Incredible Smooth Conditioning Spray 240 ml IX","2022-06-05 13:06:43","Confirmed","","5","Confirmed"
"BOTP-PISS240-IX","BOTP-PISS240-IX","Botol Print Incredible Smooth Sampoo 240 ml IX","2022-06-05 13:06:54","Confirmed","","5","Confirmed"
"BOTP-PISS750-IX","BOTP-PISS750-IX","Botol Print Incredible Smooth Shampoo  750 ml IX","2022-06-05 13:07:04","Confirmed","","5","Confirmed"
