"id","snfg_id/display_name","name","product_id/display_name","fro_sediaan","scheduled_start","scheduled_finished","picking_type_id/display_name","mo_id/display_name","state","fro_stream_line"
"__export__.mfg_snfg_line_2280_acf9e3a2","L-MLCE-OMG/H0041","L-MLCE-OMG/H0041","[80005] OMG OH MY GLAM Matte Kiss Lip Cream 05 Punch 3.5 g","S","2022-06-08","2022-06-10","Jatake 4: JTK 4 - Kemas","VCI#MO/220001028","Confirmed","A"
"__export__.mfg_snfg_line_2281_f9b1298d","L-MLCE-OMG/H0041","MO-L-MLCE-BULK/H0043","[L-MLCE-BULK] OMG OH MY GLAM Matte Kiss Lip Cream 05 Punch","S","2022-06-06","2022-06-10","Jatake 4: JTK 4 - Olah","VCI#MO/220001073","Confirmed","A"
"__export__.mfg_snfg_line_2285_7c9992f6","L-MLCF-OMG/H0042","MO-L-MLCF-BULK/H0042","[L-MLCF-BULK] OMG OH MY GLAM Matte Kiss Lip Cream 06 Sparkle","S","2022-06-06","2022-06-10","Jatake 4: JTK 4 - Olah","VCI#MO/220001044","Confirmed","A"
"__export__.mfg_snfg_line_2287_70e5923c","L-MLCG-OMG/H0040","MO-L-MLCG-BULK/H0042","[L-MLCG-BULK] OMG OH MY GLAM Matte Kiss Lip Cream 07 Delight","S","2022-06-06","2022-06-10","Jatake 4: JTK 4 - Olah","VCI#MO/220001047","Confirmed","A"
"__export__.mfg_snfg_line_2288_910f94b7","L-MLCG-OMG/H0041","L-MLCG-OMG/H0041","[80007] OMG OH MY GLAM Matte Kiss Lip Cream 07 Delight 3.5 g","S","2022-06-08","2022-06-10","Jatake 4: JTK 4 - Kemas","VCI#MO/220001032","Confirmed","A"
"__export__.mfg_snfg_line_2289_6c5d992a","L-MLCG-OMG/H0041","MO-L-MLCG-BULK/H0043","[L-MLCG-BULK] OMG OH MY GLAM Matte Kiss Lip Cream 07 Delight","S","2022-06-06","2022-06-10","Jatake 4: JTK 4 - Olah","VCI#MO/220001048","Confirmed","A"
"__export__.mfg_snfg_line_2293_722d8f1a","L-MLCL-OMG/H0033","MO-L-MLCL-BULK/H0035","[L-MLCL-BULK] OMG OH MY GLAM Matte Kiss Lip Cream 12 Scarlet","S","2022-06-06","2022-06-10","Jatake 4: JTK 4 - Olah","VCI#MO/220001055","Confirmed","A"
"__export__.mfg_snfg_line_2295_38360288","L-MLCM-OMG/H0014","MO-L-MLCM-BULK/H0014","[L-MLCM-BULK] OMG Oh My Glam Matte Kiss Lip Cream 13","S","2022-06-07","2022-06-10","Jatake 4: JTK 4 - Olah","VCI#MO/220001056","Confirmed","A"
"__export__.mfg_snfg_line_2301_f187a18d","L-MLCC-OMG/H0021","MO-L-MLCC-BULK/H0023","[L-MLCC-BULK] OMG OH MY GLAM Matte Kiss Lip Cream 03 Flame","S","2022-06-06","2022-06-10","Jatake 4: JTK 4 - Olah","VCI#MO/220001042","Confirmed","A"
"__export__.mfg_snfg_line_2305_04217515","L-MLCH-OMG/H0020","MO-L-MLCH-BULK/H0022","[L-MLCH-BULK] OMG OH MY GLAM Matte Kiss Lip Cream 08 Skyfall","S","2022-06-06","2022-06-10","Jatake 4: JTK 4 - Olah","VCI#MO/220001049","Confirmed","A"
