DC,BRAND,CAT1,CAT4,ODOO CODE,CORPORATE CODE,BARCODE,ITEM NAME,GT PRICE,QOH,RESERVED (QTY),AVAILABLE (QTY),QOH (Rp),RESERVED (Rp),AVAILABLE (Rp),EXPIRED DATE
DC AMBON,EMINA,FACE MAKE UP,EMINA DAILY MATTE LOOSE POWDER,01895,B-DMLP01-EM,8993137702010,EMINA DAILY MATTE LOOSE POWDER 01 LIGHT BEIGE 20 G,30180.19,4,0,4,120720.76,0,120720.76,
DC AMBON,EMINA,EYE MAKE UP,EMINA EYE DO! CRAYON POUR LES YEUX,00827,EL-EDCPBL-EM0.2GR,8993137691581,EMINA EYE DO! CRAYON POUR LES YEUX BLACK 0.2 GR (PC(S)),54954.96,3,0,3,164864.88,0,164864.88,
DC AMBON,EMINA,FACE MAKE UP,EMINA BARE WITH ME MINERAL LOOSE POWDER,01889,B-RBMLP02-EM,8993137691352,EMINA BARE WITH ME MINERAL LOOSE POWDER 02 LIGHT BEIGE 8 G,47747.75,14,0,14,668468.5,0,668468.5,
DC AMBON,EMINA,FACE CLEANSER,EMINA DOUBLE BUBBLE FACE WASH,00912,FW-DBL-EM60ML,8993137692793,EMINA DOUBLE BUBBLE FACE WASH 60 ML (PC(S)),16216.22,2,0,2,32432.44,0,32432.44,
DC AMBON,EMINA,LIP MAKE UP,EMINA LIP CUSHION,02363,L-CUSH06-EM,8993137706902,EMINA LIP CUSHION 06. COFFEE PLEASE 9 G,49099.1,2,0,2,98198.2,0,98198.2,
DC AMBON,EMINA,FACE MAKE UP,EMINA BARE WITH ME MINERAL LOOSE POWDER,01890,B-RBMLP03-EM,8993137691369,EMINA BARE WITH ME MINERAL LOOSE POWDER 03 AMBER 8 G,47747.75,4,0,4,190991,0,190991,
DC AMBON,EMINA,FACE MAKE UP,EMINA BARE WITH ME MINERAL MILD FOUNDATION,02452,F-BWMM02-EM,8993137707855,EMINA BARE WITH ME MINERAL MILD FOUNDATION 02 NATURAL 30 ML,68918.92,66,0,66,4548648.72,0,4548648.72,
DC AMBON,EMINA,FACE MAKE UP,EMINA BARE WITH ME MINERAL MILD FOUNDATION,02453,F-BWMM03-EM,8993137707862,EMINA BARE WITH ME MINERAL MILD FOUNDATION 03 CARAMEL 30 ML,68918.92,2,0,2,137837.84,0,137837.84,
DC AMBON,EMINA,FACE MAKE UP,EMINA BARE WITH ME MINERAL MILD FOUNDATION,02454,F-BWMM04-EM,8993137707879,EMINA BARE WITH ME MINERAL MILD FOUNDATION 04 MOCCA 30 ML,68918.92,2,0,2,137837.84,0,137837.84,
DC AMBON,EMINA,FACE MOISTURIZER,EMINA FACE MASK,01649,FM-SL-EM60ML,8993137693530,EMINA CRANBERRY JUICE FACE MASK 60 ML,34234.24,2,0,2,68468.48,0,68468.48,
DC AMBON,EMINA,HAND CLEANSING,EMINA ALOE VERA HAND GEL,02468,HS-AVHGN2-EM,8993137710404,EMINA ALOE VERA HAND GEL 50 ML,14864.87,46,0,46,683784.02,0,683784.02,
DC AMBON,EMINA,LIP MAKE UP,EMINA LIQUID LIP SHINE,00793,L-LSCR-EM4.5ML,8993137692014,EMINA LIQUID LIP SHINE CERISE RED 4.5 ML (PC(S)),34234.24,1,0,1,34234.24,0,34234.24,
DC AMBON,EMINA,LIP MAKE UP,EMINA SOULMATTE LIPSTICK,01217,L-SM06R-EM2.3G,8993137695305,EMINA SOULMATTE LIPSTICK 06 RED QUEEN 2.3 G (PC(S)),50450.46,9,0,9,454054.14,0,454054.14,
DC AMBON,EMINA,LIP MAKE UP,EMINA SUGAR RUSH LIPSTICK,01602,L-SR10CC-EM3.8GR,8993137699891,EMINA SUGAR RUSH LIPSTICK 10 CARROT CAKE 3.8 GR (PC(S)),32882.89,2,0,2,65765.78,0,65765.78,
DC AMBON,EMINA,FACE MAKE UP,EMINA CHEEK LIT PRESSED BLUSH,00782,BO-CLPPTVB-EM3.5GR,8993137691956,EMINA CHEEK LIT PRESSED BLUSH VIOLET BERRY 3.5 GR (PC(S)),32882.89,37,0,37,1216666.93,0,1216666.93,
DC AMBON,MAKE OVER,FACE MAKE UP,MAKE OVER POWERSTAY TOTAL LIQUID CONCEALER,01994,CON-PTCL01-MO,8993137700764,MAKE OVER POWERSTAY TOTAL COVER LIQUID CONCEALER 01 LIGHT 6.5 ML,86486.49,4,0,4,345945.96,0,345945.96,
DC AMBON,MAKE OVER,FACE MOISTURIZER,MAKE OVER POWERSKIN TINTED MOISTURIZER,01968,M-PSRT20-MO,8993137702942,MAKE OVER POWERSKIN RADIANT TINTED MOISTURIZER 20 LIGHT BEIGE 40 ML,121621.63,10,0,10,1216216.3,0,1216216.3,
