DC,BRAND,CAT1,CAT4,ODOO CODE,CORPORATE CODE,BARCODE,ITEM NAME,GT PRICE,QOH,RESERVED (QTY),AVAILABLE (QTY),QOH (Rp),RESERVED (Rp),AVAILABLE (Rp),EXPIRED DATE
DC BATAM,WARDAH,FACE CLEANSER,WARDAH LIGHTENING FACIAL SCRUB,01713,FS-RL-W60ML,8993137572231,WARDAH LIGHTENING FACIAL SCRUB 60 ML,14864.87,1,0,1,14864.87,0,14864.87,
DC BATAM,WARDAH,FACE MAKE UP,WARDAH EVERYDAY CONCEALER,00125,"F-WODF-W4,5GR",8993137677776,"WARDAH DOUBLE FUNCTION KIT 4,5 GR",45945.95,28,0,28,1286486.6,0,1286486.6,
DC BATAM,WARDAH,FACE MAKE UP,WARDAH LIGHTENING TWC LIGHT FEEL,02129,TC-R2LLF03-W,8993137685610,WARDAH LIGHTENING TWO WAY CAKE LIGHT FEEL 03 SHEER PINK 12 G,46396.4,1,0,1,46396.4,0,46396.4,
DC BATAM,WARDAH,FACE CLEANSER,WARDAH LIGHTENING MILK CLEANSER,01709,CM-RL-W150ML,8993137678735,WARDAH LIGHTENING MILK CLEANSER 150 ML,25909.09,27,0,27,699545.43,0,699545.43,
DC BATAM,WARDAH,FACE MOISTURIZER,WARDAH NATURE DAILY MINERAL+ CLARIFYING CLAY MASK,01525,FM-MCC-W60ML,8993137699549,WARDAH NATURE DAILY MINERAL+ CLARIFYING CLAY MASK 60 ML,16666.67,1,0,1,16666.67,0,16666.67,
DC BATAM,WARDAH,FACE MAKE UP,WARDAH EXCLUSIVE LIQUID FOUNDATION,02034,F-RELF01-W,8993137678858,WARDAH EXCLUSIVE LIQUID FOUNDATION 01 LIGHT BEIGE 20 ML,71621.63,1,0,1,71621.63,0,71621.63,
DC BENGKULU,EMINA,LIP MAKE UP,EMINA LIP CUSHION,02360,L-CUSH03-EM,8993137706872,EMINA LIP CUSHION 03. GET BERRY 9 G,49099.1,30,0,30,1472973,0,1472973,
DC BENGKULU,EMINA,FACE MAKE UP,EMINA CHEEK LIT CREAM BLUSH,00776,BO-CLCPE-EM10ML,8993137691505,EMINA CHEEK LIT CREAM BLUSH PEACH 10 ML (PC(S)),27477.48,21,0,21,577027.08,0,577027.08,
DC BENGKULU,EMINA,HAND CLEANSING,EMINA ALOE VERA HAND GEL,02468,HS-AVHGN2-EM,8993137710404,EMINA ALOE VERA HAND GEL 50 ML,14864.87,3,0,3,44594.61,0,44594.61,
DC BENGKULU,EMINA,EYE MAKE UP,EMINA DOUBLE AGENT EYEBROW,00824,EB-DABL-EM0.3GR,8993137691697,EMINA DOUBLE AGENT EYEBROW BLACK 0.3 GR (PC(S)),73423.43,1,0,1,73423.43,0,73423.43,
DC BENGKULU,EMINA,FACE MAKE UP,EMINA CHEEK LIT CREAM BLUSH,01643,BO-CLCNB-EM10ML,8993137700047,EMINA CHEEK LIT CREAM BLUSH NUDIE BROWN 10 ML,27477.48,1,0,1,27477.48,0,27477.48,
DC BENGKULU,MAKE OVER,LIP MAKE UP,MAKE OVER POWERSTAY LIP STAIN,02104,L-PVW01-MO,8993137705462,MAKE OVER POWERSTAY VIVID WATERLITE LIP STAIN A01 BUMBLE 5.5 G,91891.9,1,0,1,91891.9,0,91891.9,
DC BENGKULU,MAKE OVER,EYE MAKE UP,MAKE OVER POWERSTAY EYE SHADOW PALETTE,02024,ES-PARR-MO,8993137704380,MAKE OVER POWERSTAY ROYAL ROSE EYE PALETTE 12 X 0.4 G,257657.66,1,0,1,257657.66,0,257657.66,
DC BENGKULU,MAKE OVER,EYE MAKE UP,MAKE OVER EYE SHADOW PALETTE,01263,ES-PNU-MO10G,8993137694223,MAKE OVER EYE SHADOW PALETTE NUDES 10 G (PC(S)),179279.28,1,0,1,179279.28,0,179279.28,
DC BENGKULU,MAKE OVER,EYE MAKE UP,MAKE OVER EYE LINER PENCIL,00642,"EL-PNB-MO1,2G",8993137683074,"MAKE OVER EYE LINER PENCIL NAVY BLUE 1,2 G (PC(S))",73873.88,2,0,2,147747.76,0,147747.76,
DC BENGKULU,MAKE OVER,LIP MAKE UP,MAKE OVER LIP CRAYON GLOSSY,01981,L-CSGC104-MO,8993137702607,MAKE OVER COLOR STICK GLOSS CRAYON 104 CHLOE 3 G,87387.39,3,0,3,262162.17,0,262162.17,
DC BENGKULU,MAKE OVER,FACE MAKE UP,MAKE OVER POWERSTAY MATTE CUSHION,02007,CUS-PDMCN50-MO,8993137705073,MAKE OVER POWERSTAY DEMI-MATTE COVER CUSHION N50 TAN 15 G,187387.39,5,0,5,936936.95,0,936936.95,
DC BENGKULU,MAKE OVER,LIP MAKE UP,MAKE OVER LIP CRAYON GLOSSY,01978,L-CSGC101-MO,8993137702577,MAKE OVER COLOR STICK GLOSS CRAYON 101 VERONICA 3 G,87387.39,1,0,1,87387.39,0,87387.39,
DC BENGKULU,MAKE OVER,FACE MOISTURIZER,MAKE OVER POWERSKIN TINTED MOISTURIZER,01969,M-PSRT30-MO,8993137702959,MAKE OVER POWERSKIN RADIANT TINTED MOISTURIZER 30 BEIGE 40 ML,121621.63,1,0,1,121621.63,0,121621.63,
DC BENGKULU,MAKE OVER,FACE MAKE UP,MAKE OVER POWERSTAY MATTE CUSHION,02329,CUS-PDMCW30-MO,8993137707480,MAKE OVER POWERSTAY DEMI-MATTE COVER CUSHION W30 CREME BEIGE 15 G,187387.39,5,0,5,936936.95,0,936936.95,
DC BENGKULU,MAKE OVER,FACE MAKE UP,MAKE OVER LIQUID FOUNDATION,00526,F-LUC01-MO33ML,8993137681698,MAKE OVER ULTRA COVER LIQUID MATT FOUNDATION 01 OCHRE 33 ML (PC(S)),124324.33,1,0,1,124324.33,0,124324.33,
DC BENGKULU,MAKE OVER,FACE MAKE UP,MAKE OVER LIQUID FOUNDATION,00531,F-LUC06-MO33ML,8993137681742,MAKE OVER ULTRA COVER LIQUID MATT FOUNDATION 06 BEIGE BLAST 33 ML (PC(S)),124324.33,1,0,1,124324.33,0,124324.33,
DC BENGKULU,MAKE OVER,FACE MAKE UP,MAKE OVER LIQUID FOUNDATION,00532,F-LUC07-MO33ML,8993137681759,MAKE OVER ULTRA COVER LIQUID MATT FOUNDATION 07 CARAMEL 33 ML (PC(S)),124324.33,2,0,2,248648.66,0,248648.66,
DC BENGKULU,MAKE OVER,LIP MAKE UP,MAKE OVER LIP COLOR PALETTE,00691,"L-PPP02-MO5X1,7G",8993137692274,"MAKE OVER LIP COLOR PALETTE PEPLUM PINK 02 5X1,7 G (PC(S))",128828.83,1,0,1,128828.83,0,128828.83,
DC BENGKULU,MAKE OVER,FACE MAKE UP,MAKE OVER CREAMY FOUNDATION,00525,F-PC-MO3X12G,8993137683029,MAKE OVER CREAMY FOUNDATION PALETTE 3X12 G (PC(S)),225225.23,1,0,1,225225.23,0,225225.23,
DC BENGKULU,MAKE OVER,FACE MAKE UP,MAKE OVER TWC,00891,TC-PC07-MO12G,8993137681681,MAKE OVER PERFECT COVER TWC 07 ESPRESSO 12 G (PC(S)),137837.84,2,0,2,275675.68,0,275675.68,
DC BENGKULU,MAKE OVER,FACE MAKE UP,MAKE OVER POWERSTAY CREAMY FOUNDATION,02188,F-PTCMCC62-MO,8993137705028,MAKE OVER POWERSTAY TOTAL COVER MATTE CREAM FOUNDATION C62 RICH COCOA 12 G,121621.63,5,0,5,608108.15,0,608108.15,
DC BENGKULU,MAKE OVER,FACE MAKE UP,MAKE OVER BLUSH ON REFILL,00988,"BO-SPP10-MO3,5G",8993137693745,"MAKE OVER BO 10 PASSION PINK REFILL PACK 3,5 G (PC(S))",41441.45,3,0,3,124324.35,0,124324.35,
DC BENGKULU,MAKE OVER,LIP MAKE UP,MAKE OVER LIP COLOR PALETTE,00692,"L-PPP03-MO5X1,7G",8993137692281,"MAKE OVER LIP COLOR PALETTE POPROCK PEACH 03 5X1,7 G (PC(S))",128828.83,2,0,2,257657.66,0,257657.66,
DC BENGKULU,MAKE OVER,FACE MAKE UP,MAKE OVER POWERSTAY CREAMY FOUNDATION,02189,F-PTCMCN10-MO,8993137704953,MAKE OVER POWERSTAY TOTAL COVER MATTE CREAM FOUNDATION N10 MARBLE 12 G,121621.63,2,0,2,243243.26,0,243243.26,
DC BENGKULU,MAKE OVER,FACE MAKE UP,MAKE OVER POWERSTAY CREAMY FOUNDATION,02190,F-PTCMCN30-MO,8993137704984,MAKE OVER POWERSTAY TOTAL COVER MATTE CREAM FOUNDATION N30 NATURAL BEIGE 12 G,121621.63,3,0,3,364864.89,0,364864.89,
DC BENGKULU,PUTRI,HAIR TEXTURE,PUTRI PLATINUM NEUTRALIZER,00334,N-P1P3P-P720,8993137683760,PUTRI PLATINUM NEUTRALIZER STEP 2 720 ML (PC(S)),38108.11,5,0,5,190540.55,0,190540.55,
DC BENGKULU,PUTRI,HAIR TEXTURE,PUTRI PLATINUM PUSTREITE,00336,LU-P1P3P-P720,8993137683784,PUTRI PLATINUM PUSTREITE STEP 1 720 ML (PC(S)),67747.75,5,0,5,338738.75,0,338738.75,
DC BENGKULU,PUTRI,CREAMBATH,PUTRI NATURE CREAMBATH,00316,CB-P1L1-P720,8993137683661,PUTRI NATURAL CREAMBATH ALOE VERA 720 ML (PC(S)),37927.93,1,0,1,37927.93,0,37927.93,
DC BENGKULU,PUTRI,HAIR OIL,PUTRI NATURE CANDLENUT OIL,00314,MK-P1-P100,8993137391016,PUTRI NATURAL CANDLENUT OIL 100 ML (PC(S)),18738.74,5,0,5,93693.7,0,93693.7,
DC BENGKULU,PUTRI,HAIR TONIC,PUTRI HAIR TONIC,00300,HT-P1A1-P200D,8993137262033,"HAIR TONIC ANTI DANDRUFF, 200 MLD",22432.44,72,0,72,1615135.68,0,1615135.68,
DC BENGKULU,PUTRI,CONDITIONER,PUTRI CONDITIONER,00353,HC-P1A2-P5,8993137170055,PUTRI PURE CLEAN HAIR CONDITIONER APPLE 5 L (PC(S)),104684.69,2,0,2,209369.38,0,209369.38,
DC BENGKULU,PUTRI,CONDITIONER,PUTRI CONDITIONER,00358,HC-P1F-P5,8993137170062,PUTRI PURE CLEAN HAIR CONDITIONER FLORAL 5 L (PC(S)),104684.69,1,0,1,104684.69,0,104684.69,
DC BENGKULU,PUTRI,HAIR MASK,PUTRI PLATINUM HAIR MASK,00332,HM-P1P-P720,8993137683746,PUTRI PLATINUM HAIR MASK 720 ML (PC(S)),60540.55,8,0,8,484324.4,0,484324.4,
DC BENGKULU,PUTRI,HAIR MASK,PUTRI SPA HAIR MASK,00376,HM-P1SPA-P720,8993137683821,PUTRI SPA SERIES HAIR MASK 720 ML (PC(S)),81621.63,3,0,3,244864.89,0,244864.89,
DC BENGKULU,WARDAH,BODY BUTTER,WARDAH SPA BODY BUTTER,00274,BUT-W0R-W100ML,8993137690737,WARDAH CREAMY BODY BUTTER WITH ROSE 100 ML (PC(S)),31981.99,24,0,24,767567.76,0,767567.76,
DC BENGKULU,WARDAH,BODY BUTTER,WARDAH SPA BODY BUTTER,00280,BUT-W3R-W150ML,8993137684811,WARDAH CREAMY BODY BUTTER WITH ROSE 150 ML (PC(S)),45045.05,21,0,21,945946.05,0,945946.05,
DC BENGKULU,WARDAH,HAND CLEANSING,WARDAH NATURE DAILY ALOE HAND SANITIZER,02422,HS-AHHGEL-W,8993137710275,WARDAH NATURE DAILY ALOE HYDRAMILD HAND SANITIZER 100 ML,17117.12,4,0,4,68468.48,0,68468.48,
DC BENGKULU,WARDAH,HAND CLEANSING,WARDAH NATURE DAILY ALOE HAND SANITIZER,02456,HS-AHHGELN2-W,8993137710848,WARDAH NATURE DAILY ALOE HYDRAMILD HAND GEL 50 ML,9909.91,3,0,3,29729.73,0,29729.73,
DC BENGKULU,WARDAH,FACE MOISTURIZER,WARDAH PERFECT BRIGHT MOISTURIZER NORMAL SKIN,01637,M-RPBNS-W20ML,8993137698696,WARDAH PERFECT BRIGHT MOISTURIZER NORMAL SKIN 20 ML (PC(S)),22792.8,2,0,2,45585.6,0,45585.6,
DC BOGOR,EMINA,HAND CLEANSING,EMINA ALOE VERA HAND GEL,02450,HS-AVHG-EM,8993137710268,EMINA ALOE VERA HAND GEL 60 ML,15765.77,139,0,139,2191442.03,0,2191442.03,
DC BOGOR,MAKE OVER,EYE MAKE UP,MAKE OVER EYE SHADOW REFILL,00599,"ES-BS-MOR3,5G",8993137682336,"MAKE OVER SGES BLACK STILETTO REFILL PACK 3,5 G (PC(S))",45045.05,22,0,22,990991.1,0,990991.1,
DC BOGOR,MAKE OVER,EYE MAKE UP,MAKE OVER EYE SHADOW PALETTE,01263,ES-PNU-MO10G,8993137694223,MAKE OVER EYE SHADOW PALETTE NUDES 10 G (PC(S)),179279.28,1,0,1,179279.28,0,179279.28,
DC BOGOR,MAKE OVER,EYE MAKE UP,MAKE OVER EYE SHADOW TRIVIA,00625,ES-TGE-MO6G,8993137682619,MAKE OVER TRIVIA EYE SHADOW GOLDEN ESPRESS 6 G (PC(S)),78378.38,1,0,1,78378.38,0,78378.38,
DC BOGOR,WARDAH,FACE MAKE UP,WARDAH COLORFIT LOOSE POWDER,02852,B-CLCLPD-W,8993137712071,WARDAH COLORFIT MATTIFYING POWDER 43W GOLDEN SAND 15 G,72972.98,2,0,2,145945.96,0,145945.96,
DC BOGOR,WARDAH,COLOGNE,WARDAH SCENTSATION BODY MIST,01778,BP-SPNBM-W100ML,8993137698160,WARDAH SCENTSATION PASSION BODY MIST 100 ML (PC(S)),31981.99,2,0,2,63963.98,0,63963.98,
DC BOGOR,WARDAH,HAND CLEANSING,WARDAH NATURE DAILY ALOE HAND SANITIZER,02422,HS-AHHGEL-W,8993137710275,WARDAH NATURE DAILY ALOE HYDRAMILD HAND SANITIZER 100 ML,17117.12,480,0,480,8216217.6,0,8216217.6,
DC BOGOR,WARDAH,SHAMPOO,WARDAH SHAMPOO,01485,S-A1-W170ML,8993137698436,WARDAH ANTI DANDRUFF SHAMPOO 170 ML (PC(S)),21621.63,1,0,1,21621.63,0,21621.63,
DC BOGOR,WARDAH,LIP MAKE UP,WARDAH LIP PALETTE,00173,L-W0PPR-W10G,8993137680646,WARDAH LIP PALETTE PERFECT RED 10 G (PC(S)),62612.62,1,0,1,62612.62,0,62612.62,
DC BOGOR,WARDAH,FACE MOISTURIZER,WARDAH NATURE DAILY SEAWEED INTENSIVE NIGHT CREAM,01512,IN-SC-W30G,8993137695084,WARDAH NATURE DAILY SEAWEED INTENSIVE NIGHT CREAM 30 G,33333.34,1,0,1,33333.34,0,33333.34,
DC BOGOR,WARDAH,FACE CLEANSER,WARDAH LIGHTENING FACIAL SCRUB,01713,FS-RL-W60ML,8993137572231,WARDAH LIGHTENING FACIAL SCRUB 60 ML,14864.87,25,0,25,371621.75,0,371621.75,
DC BUKITTINGGI,EMINA,COLOGNE,EMINA BODY MIST,02092,BP-BMISN2-EM,8993137704236,EMINA BODY MIST INDIAN SUMMER 10 ML,18468.47,397,0,397,7331982.59,0,7331982.59,
DC BUKITTINGGI,EMINA,HAND CLEANSING,EMINA ALOE VERA HAND GEL,02468,HS-AVHGN2-EM,8993137710404,EMINA ALOE VERA HAND GEL 50 ML,14864.87,198,0,198,2943244.26,0,2943244.26,
DC BUKITTINGGI,EMINA,LIP MAKE UP,EMINA LIP CUSHION,02362,L-CUSH05-EM,8993137706896,EMINA LIP CUSHION 05. SQUASH IT UP 9 G,49099.1,18,0,18,883783.8,0,883783.8,
DC BUKITTINGGI,EMINA,LIP MAKE UP,EMINA LIP CUSHION,02360,L-CUSH03-EM,8993137706872,EMINA LIP CUSHION 03. GET BERRY 9 G,49099.1,18,0,18,883783.8,0,883783.8,
DC BUKITTINGGI,MAKE OVER,FACE MAKE UP,MAKE OVER POWERSTAY ILLUMINATOR,02400,PRM-PRI01-MO,8993137706643,MAKE OVER POWERSTAY RADIANT ILLUMINIZER LUMIERE 25 G,109909.91,7,0,7,769369.37,0,769369.37,
DC BUKITTINGGI,MAKE OVER,FACE MAKE UP,MAKE OVER POWERSTAY WEIGHTLESS LIQUID FOUNDATION,02424,F-LPWN50-MO,8993137707374,MAKE OVER POWERSTAY WEIGHTLESS LIQUID FOUNDATION N50 TAN 33 ML,145945.95,33,0,33,4816216.35,0,4816216.35,
DC BUKITTINGGI,PUTRI,HAIR TONIC,PUTRI HAIR TONIC,00308,HT-P1Y1-P2,8993137250023,"HAIR TONIC NORMAL HAIR (YELLOW), 2 L",114684.69,3,0,3,344054.07,0,344054.07,
DC BUKITTINGGI,PUTRI,CONDITIONER,PUTRI CONDITIONER,00352,HC-P1A2-P2,8993137170024,PUTRI PURE CLEAN HAIR CONDITIONER APPLE 2 L (PC(S)),54594.6,8,0,8,436756.8,0,436756.8,
DC BUKITTINGGI,WARDAH,HAND CLEANSING,WARDAH NATURE DAILY ALOE HAND SANITIZER,02456,HS-AHHGELN2-W,8993137710848,WARDAH NATURE DAILY ALOE HYDRAMILD HAND GEL 50 ML,9909.91,72,0,72,713513.52,0,713513.52,
DC BUKITTINGGI,WARDAH,FACE MOISTURIZER,WARDAH NATURE DAILY SHEET MASK,01972,MA-NDSGT-W,8993137702065,WARDAH NATURE DAILY SHEET MASK GREEN TEA 20 ML,14414.42,9,0,9,129729.78,0,129729.78,
DC BUKITTINGGI,WARDAH,HAND CLEANSING,WARDAH NATURE DAILY ALOE HAND SANITIZER,02422,HS-AHHGEL-W,8993137710275,WARDAH NATURE DAILY ALOE HYDRAMILD HAND SANITIZER 100 ML,17117.12,9,0,9,154054.08,0,154054.08,
DC BUKITTINGGI,WARDAH,HAND CLEANSING,WARDAH NATURE DAILY ALOE HAND SANITIZER,02458,HS-NDAHHGN2-W,8993137710602,WARDAH NATURE DAILY ALOE HYDRAMILD HAND SANITIZER 240 ML,25225.23,46,0,46,1160360.58,0,1160360.58,
DC BUKITTINGGI,WARDAH,EYE MAKE UP,WARDAH EYE SHADOW,00937,"ES-W1E-W3,3GR",8993137680073,"WARDAH EYE SHADOW E 3,3 GR (PC(S))",42342.35,3,0,3,127027.05,0,127027.05,
DC BUKITTINGGI,WARDAH,FACE MAKE UP,WARDAH EXCLUSIVE CREAMY FOUNDATION,02053,F-RECF05-W,8993137678841,WARDAH EXCLUSIVE CREAMY FOUNDATION 05 COFFEE BEIGE 12 G,82882.89,7,0,7,580180.23,0,580180.23,
DC CIREBON,WARDAH,HAND CLEANSING,WARDAH NATURE DAILY ALOE HAND SANITIZER,02422,HS-AHHGEL-W,8993137710275,WARDAH NATURE DAILY ALOE HYDRAMILD HAND SANITIZER 100 ML,17117.12,19,0,19,325225.28,0,325225.28,
DC JAMBI,CRYSTALLURE,FACE MOISTURIZER,CRYSTALLURE HYDRA GEL,02175,M-CSAHG-W,8993137705288,WARDAH CRYSTALLURE SUPREME ADVANCED HYDRA GEL 50 G,183783.79,1,0,1,183783.79,0,183783.79,
DC JAMBI,EMINA,FACE MOISTURIZER,EMINA BRIGHT STUFF FACE SERUM,03158,SRM-BSSN2-EM,8993137713733,EMINA BRIGHT STUFF FACE SERUM 7.5 ML,14414.42,1,0,1,14414.42,0,14414.42,
DC JAMBI,EMINA,LIP MAKE UP,EMINA CREAMATTE METALLIC,01925,L-CMME01-EM,8993137702676,EMINA CREAMATTE METALLIC EDITION 01 BERRY STARDUST 5.5 G,44144.15,5,0,5,220720.75,0,220720.75,
DC JAMBI,EMINA,LIP MAKE UP,EMINA CREAMATTE,01101,L-CM04-EM5.5GR,8993137694339,EMINA CREAMATTE 04 FROSTBITE 5.5 GR (PC(S)),41441.45,10,0,10,414414.5,0,414414.5,
DC JAMBI,EMINA,LIP MAKE UP,EMINA CREAMYTINT,02138,LT-CR04-EM,8993137704830,EMINA CREAMYTINT 04 WILD BERRY 3.6 G,38738.74,1,0,1,38738.74,0,38738.74,
DC JAMBI,EMINA,LIP MAKE UP,EMINA LIP CUSHION,02360,L-CUSH03-EM,8993137706872,EMINA LIP CUSHION 03. GET BERRY 9 G,49099.1,16,0,16,785585.6,0,785585.6,
DC JAMBI,EMINA,FACE MOISTURIZER,EMINA MASQUERADE SHEET MASK,01797,FM-MTTO-EM,8993137702669,EMINA MASQUERADE FACE MASK TEA TREE OIL 23 G,12612.62,3,0,3,37837.86,0,37837.86,
DC JAMBI,EMINA,FACE MAKE UP,EMINA DAILY MATTE LOOSE POWDER,01895,B-DMLP01-EM,8993137702010,EMINA DAILY MATTE LOOSE POWDER 01 LIGHT BEIGE 20 G,30180.19,2,0,2,60360.38,0,60360.38,
DC JAMBI,EMINA,EYE MAKE UP,EMINA EYE DO! PENCIL EYE LINER,00816,EL-EDPBR-EM1GR,8993137691659,EMINA EYE DO! PENCIL EYE LINER BROWN 1 GR (PC(S)),32432.44,18,0,18,583783.92,0,583783.92,
DC JAMBI,INSTAPERFECT,LIP MAKE UP,INSTAPERFECT LIP CRAYON MATTECENTRIC,01696,L-IPMC02-W3G,8993137700719,WARDAH INSTAPERFECT MATTECENTRIC LIP CRAYON 02 MORALE 3 G,78378.38,4,0,4,313513.52,0,313513.52,
DC JAMBI,INSTAPERFECT,LIP MAKE UP,INSTAPERFECT LIP CRAYON MATTECENTRIC,01697,L-IPMC03-W3G,8993137700726,WARDAH INSTAPERFECT MATTECENTRIC LIP CRAYON 03 HONOR 3 G,78378.38,4,0,4,313513.52,0,313513.52,
DC JAMBI,INSTAPERFECT,LIP MAKE UP,INSTAPERFECT LIP CRAYON MATTECENTRIC,01700,L-IPMC06-W3G,8993137700757,WARDAH INSTAPERFECT MATTECENTRIC LIP CRAYON 06 SOUL 3 G,78378.38,3,0,3,235135.14,0,235135.14,
DC JAMBI,INSTAPERFECT,LIP MAKE UP,INSTAPERFECT LIP CRAYON GLOSS CHIC,01693,L-IPGC02-W2.7G,8993137700689,WARDAH INSTAPERFECT GLOSS CHIC LIP CRAYON 02 CLUE 2.7 G,78378.38,10,0,10,783783.8,0,783783.8,
DC JAMBI,KAHF,BEARD CARE,KAHF NOURISHING BEARD OIL,02815,BRO-NBO-KA,8993137710473,KAHF NOURISHING BEARD OIL 30 ML,91891.9,2,0,2,183783.8,0,183783.8,
DC JAMBI,MAKE OVER,LIP MAKE UP,MAKE OVER ULTRA HI-MATTE LIPSTICK,01135,L-UHCR005-MO2.3G,8993137696845,MAKE OVER ULTRA HI-MATTE LIPSTICK 005 CHAMPAGNE ROSE 2.3 G (PC(S)),81981.99,16,0,16,1311711.84,0,1311711.84,
DC JAMBI,MAKE OVER,FACE MAKE UP,MAKE OVER POWERSTAY TWC,02307,TC-PMW30-MO,8993137707206,MAKE OVER POWERSTAY MATTE POWDER FOUNDATION W30 CREME BEIGE 12 G,164864.87,4,0,4,659459.48,0,659459.48,
DC JAMBI,MAKE OVER,FACE MAKE UP,MAKE OVER POWERSTAY ILLUMINATOR,02400,PRM-PRI01-MO,8993137706643,MAKE OVER POWERSTAY RADIANT ILLUMINIZER LUMIERE 25 G,109909.91,1,0,1,109909.91,0,109909.91,
DC JAMBI,MAKE OVER,LIP MAKE UP,MAKE OVER CREAMY LUST LIPSTICK,00678,L-CLRP03-MO4G,8993137682824,MAKE OVER CREAMY LUST LIPSTICK 03 RAISIN PLUM 4 G (PC(S)),69369.37,8,0,8,554954.96,0,554954.96,
DC JAMBI,MAKE OVER,LIP MAKE UP,MAKE OVER ULTRA HI-MATTE LIPSTICK,01137,L-UHTP007-MO2.3G,8993137696869,MAKE OVER ULTRA HI-MATTE LIPSTICK 007 THINK PINK 2.3 G (PC(S)),81981.99,1,0,1,81981.99,0,81981.99,
DC JAMBI,MAKE OVER,LIP MAKE UP,MAKE OVER ULTRA SHINE LIPSTICK,00735,"L-USGR06-MO3,8G",8993137682732,"MAKE OVER ULTRA SHINE LIPSTICK 06 GORGEOUS RED 3,8 G (PC(S))",69369.37,11,0,11,763063.07,0,763063.07,
DC JAMBI,MAKE OVER,LIP MAKE UP,MAKE OVER LIP CRAYON GLOSSY,01979,L-CSGC102-MO,8993137702584,MAKE OVER COLOR STICK GLOSS CRAYON 102 ABIGAIL 3 G,87387.39,5,0,5,436936.95,0,436936.95,
DC JAMBI,MAKE OVER,LIP MAKE UP,MAKE OVER LIQUID LIP COLOR,00910,L-LMO-MO5ML,8993137693387,MAKE OVER LIQUID LIP COLOR MAD ORANGE 5 ML (PC(S)),69369.37,3,0,3,208108.11,0,208108.11,
DC JAMBI,MAKE OVER,LIP MAKE UP,MAKE OVER ULTRA HI-MATTE LIPSTICK,01136,L-UHSB006-MO2.3G,8993137696852,MAKE OVER ULTRA HI-MATTE LIPSTICK 006 SILKY BLONDE 2.3 G (PC(S)),81981.99,6,0,6,491891.94,0,491891.94,
DC JAMBI,MAKE OVER,LIP MAKE UP,MAKE OVER ULTRA HI-MATTE LIPSTICK,01133,L-UHSR003-MO2.3G,8993137696821,MAKE OVER ULTRA HI-MATTE LIPSTICK 003 SOPHIST RED 2.3 G (PC(S)),81981.99,15,0,15,1229729.85,0,1229729.85,
DC JAMBI,MAKE OVER,LIP MAKE UP,MAKE OVER ULTRA SHINE LIPSTICK,00737,"L-USMT08-MO3,8G",8993137682756,"MAKE OVER ULTRA SHINE LIPSTICK 08 MOCHA TOFFEE 3,8 G (PC(S))",69369.37,6,0,6,416216.22,0,416216.22,
DC JAMBI,MAKE OVER,LIP MAKE UP,MAKE OVER CLIQUEMATTE,01626,L-CQS205-MO2G,8993137699990,MAKE OVER CLIQUEMATTE LIP STYLO 205 JETSETTER 2 G,101801.81,7,0,7,712612.67,0,712612.67,
DC JAMBI,MAKE OVER,FACE MAKE UP,MAKE OVER POWERSTAY TWC,02407,TC-PMN40-MO,8993137707763,MAKE OVER POWERSTAY MATTE POWDER FOUNDATION N40 SAND 12 G,164864.87,24,0,24,3956756.88,0,3956756.88,
DC JAMBI,MAKE OVER,LIP MAKE UP,MAKE OVER POWERSTAY LIP STAIN,02104,L-PVW01-MO,8993137705462,MAKE OVER POWERSTAY VIVID WATERLITE LIP STAIN A01 BUMBLE 5.5 G,91891.9,21,0,21,1929729.9,0,1929729.9,
DC JAMBI,MAKE OVER,FACE MAKE UP,MAKE OVER BLUSH ON REFILL,00665,"BO-SPF01-MOR3,5G",8993137681919,"MAKE OVER BO 01 PINK FANTASIST REFILL PACK 3,5 G (PC(S))",41441.45,3,0,3,124324.35,0,124324.35,
DC JAMBI,MAKE OVER,FACE MAKE UP,MAKE OVER POWERSTAY CREAMY FOUNDATION,02194,F-PTCMCW42-MO,8993137704991,MAKE OVER POWERSTAY TOTAL COVER MATTE CREAM FOUNDATION W42 WARM SAND 12 G,121621.63,21,0,21,2554054.23,0,2554054.23,
DC JAMBI,MAKE OVER,FACE MOISTURIZER,MAKE OVER POWERSKIN TINTED MOISTURIZER,01968,M-PSRT20-MO,8993137702942,MAKE OVER POWERSKIN RADIANT TINTED MOISTURIZER 20 LIGHT BEIGE 40 ML,121621.63,16,0,16,1945946.08,0,1945946.08,
DC JAMBI,MAKE OVER,LIP MAKE UP,MAKE OVER LIQUID LIP COLOR,00704,L-LDP-MO5ML,8993137683302,MAKE OVER LIQUID LIP COLOR DROP-DEAD PINK 5 ML (PC(S)),69369.37,10,0,10,693693.7,0,693693.7,
DC JAMBI,MAKE OVER,FACE MAKE UP,MAKE OVER POWERSTAY CREAMY FOUNDATION,02195,F-PTCMCW52-MO,8993137705004,MAKE OVER POWERSTAY TOTAL COVER MATTE CREAM FOUNDATION W52 WARM TAN 12 G,121621.63,14,0,14,1702702.82,0,1702702.82,
DC JAMBI,MAKE OVER,LIP MAKE UP,MAKE OVER CREAMY LUST LIPSTICK,00683,L-CLTB08-MO4G,8993137682879,MAKE OVER CREAMY LUST LIPSTICK 08 TWILIGHT BUFF 4 G (PC(S)),69369.37,1,0,1,69369.37,0,69369.37,
