Code,Product,Quantity on Hand,Reserved,Available
02196,MAKE OVER Color Hypnose Creamy Lipmatte 01 Charm 4.3 g,55.0,0.0,55.0
02197,MAKE OVER Color Hypnose Creamy Lipmatte 02 Flirt 4.3 g,55.0,0.0,55.0
02198,MAKE OVER Color Hypnose Creamy Lipmatte 03 Allure 4.3 g,55.0,0.0,55.0
02199,MAKE OVER Color Hypnose Creamy Lipmatte 04 Hypnotic 4.3 g,55.0,0.0,55.0
02200,MAKE OVER Color Hypnose Creamy Lipmatte 05 Scandal 4.3 g,55.0,0.0,55.0
02201,MAKE OVER Color Hypnose Creamy Lipmatte 06 Kiss 4.3 g,70.0,0.0,70.0
02202,MAKE OVER Color Hypnose Creamy Lipmatte 07 Temptation 4.3 g,70.0,0.0,70.0
02203,MAKE OVER Color Hypnose Creamy Lipmatte 08 Addicted 4.3 g,55.0,0.0,55.0
02204,MAKE OVER Color Hypnose Creamy Lipmatte 09 Undercover 4.3 g,70.0,0.0,70.0
02205,MAKE OVER Color Hypnose Creamy Lipmatte 10 Bewitched 4.3 g,70.0,0.0,70.0
02206,MAKE OVER Color Hypnose Creamy Lipmatte 11 Adore 4.3 g,55.0,0.0,55.0
02207,MAKE OVER Color Hypnose Creamy Lipmatte 12 Magnet 4.3 g,55.0,0.0,55.0
02329,MAKE OVER Powerstay Demi-Matte Cover Cushion W30 Creme Beige 15 g,209.0,0.0,209.0
02334,Wardah Lightening Oil-Infused Micellar Water 100 ml,180.0,130.0,50.0
02360,Emina Lip Cushion 03. Get Berry 9 g,50.0,0.0,50.0
02371,Wardah Lightening Powder Foundation Light Feel 03 Sheer Pink 12 g,3456.0,0.0,3456.0
02373,Wardah Lightening Powder Foundation Light Feel 05 Beige 12 g,6.0,0.0,6.0
02374,Wardah Lightening Powder Foundation Light Feel 06 Ivory 12 g,30.0,30.0,0.0
02403,Wardah Lightening Liquid Concealer 01 Light 7 g (Blister),30.0,30.0,0.0
02404,Wardah Lightening Liquid Concealer 02 Beige 7 g (Blister),30.0,30.0,0.0
02413,Wardah Lightening Micellar Gentle Wash 100 ml,30.0,30.0,0.0
02414,Wardah Lightening Day Cream Advanced Niacinamide 30 g,30.0,30.0,0.0
02415,Wardah Lightening Night Cream Advanced Niacinamide 30 g,7614.0,30.0,7584.0
02416,Wardah Lightening Day Cream Advanced Niacinamide 20 mL,53424.0,0.0,53424.0
02418,Wardah Lightening Liquid Foundation 01. Light Beige 25 ml (Blister),30.0,30.0,0.0
02419,Wardah Lightening Liquid Foundation 02. Beige 25 ml (Blister),30.0,30.0,0.0
02427,Wardah Lightening Essence Sheet Mask 20 ml,100.0,100.0,0.0
02428,Wardah Lightening Face Toner 125 ml,160.0,160.0,0.0
02434,Wardah Lightening Gentle Exfoliator 50 ml,12650.0,0.0,12650.0
02459,Wardah Instaperfect Everlast Intense Matte Liquid 01 EXCEPTIONAL 4.2 g,86.0,80.0,6.0
02460,Wardah Instaperfect Everlast Intense Matte Liquid 02 TIMELESS 4.2 g,69.0,63.0,6.0
02461,Wardah Instaperfect Everlast Intense Matte Liquid 03 SURREAL 4.2 g,12.0,6.0,6.0
02463,Wardah Instaperfect Everlast Intense Matte Liquid 05 SPLENDID 4.2 g,17.0,11.0,6.0
02464,Wardah Instaperfect Everlast Intense Matte Liquid 06 AUTHENTIC 4.2 g,11.0,11.0,0.0
02465,Wardah Instaperfect Everlast Intense Matte Liquid 07 EFFORTLESS 4.2 g,8.0,8.0,0.0
02466,Wardah Instaperfect Everlast Intense Matte Liquid 08 DASHING 4.2 g,6.0,6.0,0.0
02468,Emina Aloe Vera Hand Gel 50 ml,331.0,0.0,331.0
02526,Wardah Hydra Rose Gel to Foam Cleanser 100 ml,10.0,0.0,10.0
02808,Kahf Invigorating Waterfall Eau de Toilette 35 ml,5.0,0.0,5.0
02812,Kahf Skin Energizing and Brightening Face Wash 100 ml,5.0,0.0,5.0
02848,Wardah Lightening Face Mist 60 ml,130.0,130.0,0.0
02850,Wardah Colorfit Mattifying Powder 23W Warm Ivory 15 g,80.0,80.0,0.0
02851,Wardah Colorfit Mattifying Powder 32N Neutral Beige 15 g,80.0,80.0,0.0
02852,Wardah Colorfit Mattifying Powder 43W Golden Sand 15 g,67.0,67.0,0.0
02853,Wardah Colorfit Matte Foundation 11C Pink Fair 25 ml,210.0,210.0,0.0
02854,Wardah Colorfit Matte Foundation 22N Light Ivory 25 ml,210.0,210.0,0.0
02855,Wardah Colorfit Matte Foundation 23W Warm Ivory 25 ml,210.0,210.0,0.0
02856,Wardah Colorfit Matte Foundation 32N Neutral Beige 25 ml,49.0,49.0,0.0
02857,Wardah Colorfit Matte Foundation 33W Olive Beige 25 ml,52.0,52.0,0.0
02860,Wardah Colorfit Matte Foundation 52N Almond 25 ml,52.0,52.0,0.0
02861,Wardah Colorfit Velvet Powder Foundation 11C Pink Fair 11 g,90.0,90.0,0.0
02862,Wardah Colorfit Velvet Powder Foundation 22N Light Ivory 11 g,90.0,90.0,0.0
02863,Wardah Colorfit Velvet Powder Foundation 23W Warm Ivory 11 g,90.0,90.0,0.0
02864,Wardah Colorfit Velvet Powder Foundation 32N Neutral Beige 11 g,90.0,90.0,0.0
02865,Wardah Colorfit Velvet Powder Foundation 33W Olive Beige 11 g,17.0,17.0,0.0
02867,Wardah Colorfit Velvet Powder Foundation 42N Neutral Sand 11 g,16.0,11.0,5.0
02868,Wardah Colorfit Velvet Powder Foundation 52N Almond 11 g,6.0,6.0,0.0
02869,Wardah Colorfit Ultralight Matte Lipstick 09 Romantic Namsan 3.6 g,14.0,0.0,14.0
03176,Biodef Natural Protection Mint + Green Tea Body Wash Antiseptik Alami Botol 275 ml,16.0,0.0,16.0
03178,Biodef Natural Protection Mint + Green Tea Hand Wash Antiseptik Alami Botol 250 ml,5.0,0.0,5.0
03183,Biodef Natural Protection Mint + Yuzu Body Wash Antiseptik Alami Pouch 400 ml,5.0,0.0,5.0
03375,Wardah Colorfit Fresh Matte Lip Ink 04 Speedster 4 g,5.0,0.0,5.0
04576,Wardah Hairfall Treatment Shampoo 170 ml,12.0,0.0,12.0
N15,LABORE Sensitive Skin Care NFS BiomeProtect Physical Sunscreen 10 ml,425.0,0.0,425.0
N16,LABORE Sensitive Skin Care NFS BiomeRepair Barrier Revive Cream 10 ml,37.0,0.0,37.0
N24,Kahf NFS Skin Energizing and Brightening Face Wash 8 ml,1.0,0.0,1.0
N88,Sample Pajangan Wardah NFS Refill Lightening Powder Foundation Light Feel 02 Golden Beige 12 g,72.0,0.0,72.0
P1229,Wardah NFS Anti Dandruff Shampoo (sachet) 10 ml ,51.0,0.0,51.0
P1230,Wardah NFS Nutri Shine Shampoo (sachet) 10 ml ,4589.0,0.0,4589.0
P1231,Wardah NFS Hairfall Treatment Shampoo (sachet) 10 ml ,1361.0,0.0,1361.0
P1232,Wardah NFS Daily Fresh Shampoo (sachet) 10 ml ,1.0,0.0,1.0
P1246,Wardah NFS Lightening Sachet Package,150577.0,0.0,150577.0
P1322,"Inner Shirt Emina Uniform, ima no 1 (digital printed fabric) (Pc(s))",11.0,0.0,11.0
P1323,"Pinafore Emina Uniform,manish no 14 full furing (light grey), YKK zipper (Pc(s))",11.0,0.0,11.0
