Code,Product,Quantity on Hand,Reserved,Available
357,Putri Pure Clean Hair Conditioner Floral 2 L (Pc(s)),27,0,27
360,Putri Pure Clean Shampoo Apple 200 ML (Pc(s)),1296,0,1296
361,Putri Pure Clean Shampoo Apple 450 ML (Pc(s)),1327,0,1327
362,Putri Pure Clean Shampoo Apple 2 L (Pc(s)),1,0,1
365,Putri Pure Clean Shampoo Lemon 200 ML (Pc(s)),588,0,588
366,Putri Pure Clean Shampoo Lemon 450 ML (Pc(s)),900,0,900
368,Putri Pure Clean Shampoo Lemon 5 L (Pc(s)),3,0,3
370,Putri Shampoo Ginseng 200 ML (Pc(s)),837,0,837
374,Putri SPA Series Relaxing Creambath 720 ml (pc(s)),1,0,1
375,Putri SPA Series Hair Mask 240 ml (Pc(s)),1,0,1
376,Putri SPA Series Hair Mask 720 ml (pc(s)),4,0,4
379,"Hair Tonic SPA Relaxing Lavender, 200 ml",202,0,202
381,Putri Massage Cream 1 KG (Pc(s)),3,0,3
382,Putri Olive Body Scrub 150 ML (Pc(s)),30,0,30
384,Putri Olive Body Scrub 720 ML (Pc(s)),4,0,4
388,Putri SPA Energizing Shampoo (Lemon) 200 ML (Pc(s)),7,0,7
389,Putri SPA Energizing Shampoo (Lemon) 450 ML (Pc(s)),7,0,7
392,Putri Hair Spray Non Aerosol Normal (Biru) 200 ML (Pc(s)),72,0,72
394,Putri Hair Spray Non Aerosol Normal (Biru) 450 ML (Pc(s)),128,0,128
395,Putri Hair Spray Non Aerosol Strong (Hijau) 200 ML (Pc(s)),540,0,540
397,Putri Hair Spray Non Aerosol Strong (Hijau) 450 ML (Pc(s)),180,0,180
398,Putri Styling Glaze 200 ML (Pc(s)),35,0,35
400,Putri Wet Jelly 100 ML (Pc(s)),20,0,20
514,MAKE OVER Corrective Base Make Up 02 Greenish 40 ml (Pc(s)),0,0,0
515,MAKE OVER Hydration Serum 33 ml (Pc(s)),1222,0,1222
518,MAKE OVER Perfect Cover Creamy Foundation 01 Rich Almond 12 g (Pc(s)),0,0,0
524,MAKE OVER Perfect Cover Creamy Foundation 07 Frosted White 12 g (Pc(s)),0,0,0
526,MAKE OVER Ultra Cover Liquid Matt Foundation 01 Ochre 33 ml (Pc(s)),2527,0,2527
527,MAKE OVER Ultra Cover Liquid Matt Foundation 02 Pink Shade 33 ml (pc(s)),953,0,953
528,MAKE OVER Ultra Cover Liquid Matt Foundation 03 Nude Silk 33 ml (pc(s)),420,0,420
529,MAKE OVER Ultra Cover Liquid Matt Foundation 04 Amber Rose 33 ml (Pc(s)),416,0,416
530,MAKE OVER Ultra Cover Liquid Matt Foundation 05 Velvet Nude 33 ml (pc(s)),2856,0,2856
531,MAKE OVER Ultra Cover Liquid Matt Foundation 06 Beige Blast 33 ml (pc(s)),11,0,11
533,Make Over Ultra Cover Liquid Matt Foundation 08 Pearl 33 ml (Pc(s)),20,0,20
534,MAKE OVER Ultra Cover Liquid Matt Foundation 09 Crème Rose 33 ml (pc(s)),13,0,13
535,"Perfect Cover TWC 01 Lace, 14 gr",10,0,10
537,"Perfect Cover TWC 03 Maple, 14 gr",7,0,7
538,"Perfect Cover TWC 04 Desert, 14 gr",8,0,8
551,"Refill Perfect Cov. TWC 08 Honey, 14 gr",9,0,9
557,MAKE OVER Silky Smooth Translucent Powder 01 Porcelain 35 g (Pc(s)),231,0,231
558,MAKE OVER Silky Smooth Translucent Powder 02 Rosy 35 g (Pc(s)),1224,0,1224
561,MAKE OVER Silky Smooth Translucent Powder 05 Snow 35 g (Pc(s)),1115,0,1115
584,MAKE OVER Powder Eye Shadow Frozen Pink 2 g (Pc(s)),240,0,240
585,MAKE OVER Powder Eye Shadow Gold Knight 2 g (Pc(s)),102,0,102
586,MAKE OVER Powder Eye Shadow Golden Attack 2 g (Pc(s)),91,0,91
601,"MAKE OVER SGES Brown Vegas Refill Pack 3,5 g (Pc(s))",17,0,17
622,MAKE OVER Sparkling Powder Silver 2 g (Pc(s)),2,0,2
623,MAKE OVER Trivia Eye Shadow Black Goddiva 6 g (Pc(s)),1,0,1
629,MAKE OVER Trivia Eye Shadow Skycrapping Blue 6 g (Pc(s)),1,0,1
635,MAKE OVER Trivia Eye Shadow Dolly Crush 6 g (Pc(s)),5,0,5
636,MAKE OVER Trivia Eye Shadow Magical Fairy Tale 6 g (Pc(s)),185,0,185
