Code,Product,Quantity on Hand,Reserved,Available
01670,Wardah Lipstick Longlasting 19 Sunrise Nude 2.3 g,720.0,0.0,720.0
01755,Wardah Instaperfect MATTESETTER Lip Matte Paint 04. VIBE 5.5 g,132.0,0.0,132.0
01803,Wardah Instaperfect HYPERGETIC Precise Black Liner 1 g,1440.0,1440.0,0.0
01887,Emina Ms. Pimple Acne Solution Spot Gel 15 ml,714.0,0.0,714.0
01917,Emina Lip Cushion 02. Be Cherry 9 g,288.0,0.0,288.0
01967,Emina Bright Stuff Face Wash 100 ml,6460.0,0.0,6460.0
02025,Wardah Perfect Bright Tone Up Micellar Water 100 ml,700.0,0.0,700.0
02031,Emina Oh So Kissable Tinted Balm Stick Pink Bonbons 3.4 g,1024.0,0.0,1024.0
02032,Emina Oh So Kissable Tinted Balm Stick Plum Candy 3.4 g,384.0,0.0,384.0
02033,Emina Aloe Vera Gel 60 ml,6732.0,0.0,6732.0
02035,Wardah Exclusive Liquid Foundation 02 Sheer Pink 20 ml,588.0,588.0,0.0
02037,Wardah Exclusive Liquid Foundation 04 Natural 20 ml,5432.0,5432.0,0.0
02038,Wardah Exclusive Liquid Foundation 05 Coffee Beige 20 ml,924.0,924.0,0.0
02078,Wardah Exclusive Blush On 01 Rosy Pink 6.5 g ,480.0,480.0,0.0
02079,Wardah Exclusive Blush On 02 Coral Peach 6.5 g,2544.0,2544.0,0.0
02080,Wardah Exclusive Eyeshadow Palette 01 Sunset Brown 10 g,810.0,810.0,0.0
02112,Wardah Colorfit Velvet Matte Lip Mousse 01 Brown Dreamer 4 g,4224.0,4224.0,0.0
02113,Wardah Colorfit Velvet Matte Lip Mousse 02 Joyful Orange 4 g,768.0,768.0,0.0
02114,Wardah Colorfit Velvet Matte Lip Mousse 03 Rose Ballerina 4 g,768.0,768.0,0.0
02115,Wardah Colorfit Velvet Matte Lip Mousse 04 Pink Sweetheart 4 g,4224.0,4224.0,0.0
02116,Wardah Colorfit Velvet Matte Lip Mousse 05 Artisan Mauve 4 g,5952.0,5952.0,0.0
02117,Wardah Colorfit Velvet Matte Lip Mousse 06 Fuchsia Lover 4 g,3072.0,3072.0,0.0
02118,Wardah Colorfit Velvet Matte Lip Mousse 07 Red Pioneer 4 g,768.0,768.0,0.0
02119,Wardah Colorfit Velvet Matte Lip Mousse 08 Brown Creator 4 g,4416.0,4416.0,0.0
02161,Wardah Colorfit Ultralight Matte Lipstick 01 Parfait Pink 3.6 g,2160.0,2160.0,0.0
02164,Wardah Colorfit Ultralight Matte Lipstick 04 Mocca Brown 3.6 g,2160.0,2160.0,0.0
02166,Wardah Colorfit Ultralight Matte Lipstick 06 Punch Fuchsia 3.6 g,1152.0,1152.0,0.0
02167,Wardah Colorfit Ultralight Matte Lipstick 07 Crimson Red 3.6 g,2448.0,2448.0,0.0
