Code,Product,Quantity on Hand,Reserved,Available
80001,OMG OH MY GLAM Matte Kiss Lip Cream 01 Dreamy 3.5 g,8.0,0.0,8.0
80004,OMG OH MY GLAM Matte Kiss Lip Cream 04 Sunset 3.5 g,-1056.0,0.0,-1056.0
80005,OMG OH MY GLAM Matte Kiss Lip Cream 05 Punch 3.5 g,4365.0,0.0,4365.0
80006,OMG OH MY GLAM Matte Kiss Lip Cream 06 Sparkle 3.5 g,5328.0,0.0,5328.0
80009,OMG OH MY GLAM Matte Kiss Lip Cream 09 Charm 3.5 g,2856.0,0.0,2856.0
80010,OMG OH MY GLAM Matte Kiss Lip Cream 10 Shell 3.5 g,3432.0,3432.0,0.0
80011,OMG OH MY GLAM Matte Kiss Lip Cream 11 Bumble 3.5 g,0.0,0.0,0.0
80012,OMG OH MY GLAM Matte Kiss Lip Cream 12 Scarlet 3.5 g,12984.0,10104.0,2880.0
80031,OMG Oh My Glow Peach Glowing Cream 25 g,200.0,0.0,200.0
