Code,Product,Quantity on Hand,Reserved,Available
00078,Wardah Eyexpert Staylast Gel Eyeliner 2 gr (Pc(s)),49.0,0.0,49.0
00079,"Wardah Eyexpert Staylast Liquid Eyeliner 3,5 gr (Pc(s))",62.0,0.0,62.0
00080,Wardah Lightening BB Cream Light 15 ml (pc(s)),152.0,0.0,152.0
00081,Wardah Lightening BB Cream Light 30 ml (Pc(s)),115.0,0.0,115.0
00082,Wardah Lightening BB Cream Natural 15 ml (pc(s)),9.0,0.0,9.0
00083,Wardah Lightening BB Cream Natural 30 ml (Pc(s)),14.0,0.0,14.0
00084,Wardah Lightening Body Lotion 150 ml,61.0,0.0,61.0
00085,Wardah Lightening Creamy Foam 60 ml (Pc(s)),40.0,0.0,40.0
00086,Wardah Lightening Day Cream Step 1 30 gr,100.0,0.0,100.0
00087,Wardah Lightening Day Cream Step 1 20 ml (Pc(s)),54.0,0.0,54.0
00088,Wardah Lightening Day Cream Step 2 30 gr,49.0,0.0,49.0
00089,Wardah Lightening Day Cream Step 2 20 ml (Pc(s)),109.0,0.0,109.0
00090,Wardah Lightening Face Mask 60 gr,96.0,0.0,96.0
00091,Wardah Lightening Face Toner 150 ml,8.0,0.0,8.0
00092,Wardah Lightening Facial Scrub 60 gr,11.0,0.0,11.0
00093,Wardah Lightening Facial Serum 5x5 ml (Pc(s)),38.0,0.0,38.0
00094,Wardah Lightening Gentle Wash 60 ml,21.0,0.0,21.0
00095,Wardah Lightening Milk Cleanser 150 ml,51.0,0.0,51.0
00096,Wardah Lightening Night Cream Step 1 30 gr,117.0,0.0,117.0
00097,Wardah Lightening Night Cream Step 1 20 ml (Pc(s)),83.0,0.0,83.0
00098,Wardah Lightening Night Cream Step 2 30 gr,129.0,0.0,129.0
00099,Wardah Lightening Night Cream Step 2 20 ml (Pc(s)),66.0,0.0,66.0
00100,"Lightening TWC Extra Cover 01 Light Beige, 12 gr",47.0,0.0,47.0
00101,"Lightening TWC Extra Cover 02 Golden Beige, 12 gr",22.0,0.0,22.0
00102,"Lightening TWC Extra Cover 03 Sheer Pink, 12 gr",75.0,0.0,75.0
00103,"Lightening TWC Extra Cover 04 Natural, 12 gr",16.0,0.0,16.0
00104,Wardah Lightening Two Way Cake Light Feel 01 Light Beige 12 gr,53.0,0.0,53.0
00105,Wardah Lightening Two Way Cake Light Feel 02 Golden Beige 12 gr,351.0,0.0,351.0
00106,Wardah Lightening Two Way Cake Light Feel 03 Sheer Pink 12 gr,32.0,0.0,32.0
00107,Wardah Lightening Two Way Cake Light Feel 04 Natural 12 gr,33.0,0.0,33.0
00108,Wardah Perfect Bright Lightening Moisturizer 20 ml (Pc(s)),115.0,0.0,115.0
00109,"Refill Lightening TWC Extra Cover 01 Light Beige, 12 gr",55.0,0.0,55.0
00110,"Refill Lightening TWC Extra Cover 02 Soft Peach, 12 gr",5.0,0.0,5.0
00111,"Refill Lightening TWC Extra Cover 03 Sheer Pink, 12 gr",41.0,0.0,41.0
00112,"Refill Lightening TWC Extra Cover 04 Natural, 12 gr",23.0,0.0,23.0
00113,Wardah Refill Lightening Two Way Cake Light Feel 01 Light Beige 12 gr,47.0,0.0,47.0
