"#","Nomo","Snfg","Snfg Komponen","Posisi","Jenis Proses","Lanjutan","Datetime Write","Start","Due","Nama Fg","Process Status","Is Done","Koitem FG","No Batch","Actions"
"23","MO-FW-CSGC-BULK/H0002","FW-CSGC01-B/H0002","FW-CSGC01-B/H0002","QC FG","JADWAL BARU","1","(not set)","2022-03-07","2022-03-15","Beyondly Glowlasting Collagen Cleanser","Processing","Done","FW-CSGC01-B","CI08A",""
"24","MO-REM-GOC-BULK/H0002","REM-GOC-TA/H0002","REM-GOC-TA/H0002","QC FG","JADWAL BARU","1","(not set)","2022-03-05","2022-03-16","Tavi Gel to Oil 1st Cleanser","Processing","Done","REM-GOC-TA","CI09A",""
"25","(not set)","SS-SBAT30-EM/BSH0003","SS-SBAT30-EM/BSH0003","QC FG","JADWAL BARU","1","(not set)","2022-04-18","2022-04-23","Emina Sun Battle SPF 30 PA+++ 60 ml","Processing","Done","SS-SBAT30-EM","(not set)",""
"26","MO-SRM-CAB-BULK/H0004","SRM-CABN2-W/H0002","SRM-CABN2-W/H0002","QC FG","JADWAL BARU","1","(not set)","2022-03-05","2022-03-11","Wardah Crystallure Supreme Activating Booster Essence 10 ml &lt;SFG&gt;","Processing","Done","SRM-CABN2-W","CI05A",""
"27","MO-REM-RPBTUMW-BULK/H0001","REM-RPBTUMW-W/H0001","REM-RPBTUMW-W/H0001","QC FG","JADWAL BARU","1","(not set)","2022-03-09","2022-03-14","Wardah Perfect Bright Bright + Tone Up Micellar Water 100 ml","Processing","Done","REM-RPBTUMW-W","(not set)",""
"28","MO-S-CSCB-BULK/H0001","S-CSCB01-B/H0001","S-CSCB01-B/H0001","QC FG","JADWAL BARU","1","(not set)","2022-03-02","2022-03-11","Beyondly Calm Barrier Collagen Serum","Processing","Done","S-CSCB01-B","CI02A",""
"29","MO-SRM-BA-BULK/H0004","SRM-BA-WL/H0004","SRM-BA-WL/H0004","QC FG","JADWAL BARU","1","(not set)","2022-03-31","2022-04-11","Wonderly Acne &amp; Brightening Therapy Serum 15 ml","Processing","Done","SRM-BA-WL","DI01A",""
"30","MO-M-CSAOC-BULK/H0005","M-CSAOC-W/H0002","M-CSAOC-W/H0002","QC FG","JADWAL BARU","1","(not set)","2022-03-16","2022-03-25","Wardah Crystallure Supreme Activating Overnight Cream 50 g","Processing","Done","M-CSAOC-W","CI16A",""
"31","MO-SRM-BA-BULK/H0002","SRM-BA-WL/H0002","SRM-BA-WL/H0002","QC FG","JADWAL BARU","1","(not set)","2022-02-22","2022-03-04","Wonderly Acne &amp; Brightening Therapy Serum 15 ml","Processing","Done","SRM-BA-WL","BI23A",""
"32","MO-SRM-SC-BULK/H0001","SRM-SC-TA/H0001","SRM-SC-TA/H0001","QC FG","JADWAL BARU","1","(not set)","2022-03-08","2022-03-11","Tavi Plant-Based Squalane + Ceramide Moisture Boost Serum 30 ml","Processing","Done","SRM-SC-TA","CI09A",""
"33","MO-SRM-SC-BULK/H0002","SRM-SC-TA/H0002","SRM-SC-TA/H0002","QC FG","JADWAL BARU","1","(not set)","2022-03-16","2022-03-19","Tavi Plant-Based Squalane + Ceramide Moisture Boost Serum 30 ml","Processing","Done","SRM-SC-TA","CI17A",""
"34","MO-L-CHC01-BULK/H0007","L-CHC01-MO/H0007","L-CHC01-MO/H0007","QC BULK","MASUK SPESIFIKASI","1","2022-04-20 10:22:24+07","2022-04-19","2022-04-21","MAKE OVER Color Hypnose Creamy Lipmatte 01 Charm 4.3 g","Next Process","Done","L-CHC01-MO","DI19A",""
"35","MO-A-BPCB-BULK/H0017","MY-RAPBB-W/H0011","MY-RAPBB-W/H0011","PENIMBANGAN","JADWAL BARU","1","2022-04-20 10:19:00+07","2022-04-20","2022-04-22","Malaysia Wardah Acnederm Pore Blackhead Balm 20 g","Processing","(not set)","MY-RAPBB-W","(not set)",""
"36","MO-L-CVM08-BULK/H0009","L-CVM08-W/H0009","L-CVM08-W/H0009","PENIMBANGAN","JADWAL BARU","2","2022-04-20 10:18:00+07","2022-04-20","2022-04-26","Wardah Colorfit Velvet Matte Lip Mousse 08 Brown Creator 4 g","Next Process","(not set)","L-CVM08-W","(not set)",""
"37","MO-SRM-RIH-BULK/H0004","MY-SRMRIH-W/H0002","MY-SRMRIH-W/H0002","NDC","JADWAL BARU","1","2022-04-20 10:16:57+07","2022-04-13","2022-04-21","Malaysia Wardah Hydra Rose Micro Gel Serum 30 ml","Next Process","Done","MY-SRMRIH-W","DI14A",""
"38","MO-L-MLCH-BULK/H0015","L-MLCH-OMG/H0013","L-MLCH-OMG/H0013","PENGOLAHAN","OLAH PREMIX","2","2022-04-20 10:16:00+07","2022-04-19","2022-04-21","OMG OH MY GLAM Matte Kiss Lip Cream 08 Skyfall 3.5 g","Next Process","(not set)","L-MLCH-OMG","(not set)",""
"39","MO-SS-UVSDS-BULK/H0075","MY-UVSESG-W/H0010","MY-UVSESG-W/H0010","NDC","JADWAL BARU","1","2022-04-20 10:15:19+07","2022-04-14","2022-04-19","Malaysia Wardah UV Shield Essential Sunscreen Gel SPF 30 40 ml","Next Process","Done","MY-UVSESG-W","DI15C",""
"40","MO-M-RHOVN-BULK/H0006","MY-MRHOVN1-W/H0001","MY-MRHOVN1-W/H0001","NDC","JADWAL BARU","1","2022-04-20 10:13:26+07","2022-04-16","2022-04-20","Malaysia Wardah Hydra Rose Moisture Rich Night Gel 40 g","Next Process","Done","MY-MRHOVN1-W","DI15A",""
