"#","Nomo","Snfg","Snfg Komponen","Posisi","Jenis Proses","Lanjutan","Datetime Write","Start","Due","Nama Fg","Process Status","Is Done","Koitem FG","No Batch","Actions"
"319","(not set)","MY-MSM01-KA/H0002","MY-MSM01-KA/H0002","QC FG","JADWAL BARU","1","2022-04-19 14:04:02+07","2022-04-19","2022-04-20","Malaysia Kahf Triple Protection Sunscreen Moisturizer 30 ml","Next Process","Done","MY-MSM01-KA","(not set)",""
"320","-","BO-SKPF01-MO6G/BSH0021","BO-SKPF01-MO6G/BSH0021","NDC","JADWAL BARU","1","2022-04-19 13:54:34+07","2022-04-18","2022-04-19","MAKE OVER BO Single 01 Pink Fantasist 6 g (Pc(s))","Next Process","Done","BO-SKPF01-MO6G","(not set)",""
"321","MO-ES-PFP-BULK/H0001","ES-PFP-MO2G/H0001","ES-PFP-MO2G/H0001","NDC","JADWAL BARU","1","2022-04-19 13:54:34+07","2022-04-14","2022-04-20","MAKE OVER Powder Eye Shadow Frozen Pink 2 g (Pc(s))","Next Process","Done","ES-PFP-MO2G","DI14A",""
"322","MO-B-PT07-BULK/H0014","B-PT07-MO35G/H0014","B-PT07-MO35G/H0014","NDC","JADWAL BARU","1","2022-04-19 13:54:34+07","2022-04-14","2022-04-19","MAKE OVER Silky Smooth Translucent Powder 07 Vanilla 35 g","Next Process","Done","B-PT07-MO35G","DI14A",""
"323","MO-B-PT06-BULK/H0017","B-PT06-MO35G/H0017","B-PT06-MO35G/H0017","NDC","JADWAL BARU","1","2022-04-19 13:54:34+07","2022-04-14","2022-04-19","MAKE OVER Silky Smooth Translucent Powder 06 Buttermilk 35 g","Next Process","Done","B-PT06-MO35G","DI18A",""
"324","-","B-PT02-MO35G/BSH0001","B-PT02-MO35G/BSH0001","NDC","JADWAL BARU","1","2022-04-19 13:54:34+07","2022-04-18","2022-04-22","MAKE OVER Silky Smooth Translucent Powder 02 Rosy 35 g (Pc(s))","Next Process","Done","B-PT02-MO35G","(not set)",""
"325","MO-L-IPEI07-BULK/H0007","L-IPEI07-W/H0007","L-IPEI07-W/H0007","NDC","JADWAL BARU","1","2022-04-19 13:54:34+07","2022-04-12","2022-04-19","Wardah Instaperfect Everlast Intense Matte Liquid 07 EFFORTLESS 4.2 g","Next Process","Done","L-IPEI07-W","DI13A",""
"326","-","BO-SKPF01-MO6G/BSH0019","BO-SKPF01-MO6G/BSH0019","NDC","JADWAL BARU","1","2022-04-19 13:54:34+07","2022-04-18","2022-04-19","MAKE OVER BO Single 01 Pink Fantasist 6 g (Pc(s))","Next Process","Done","BO-SKPF01-MO6G","(not set)",""
"327","-","BO-SKPF01-MO6G/BSH0020","BO-SKPF01-MO6G/BSH0020","NDC","JADWAL BARU","1","2022-04-19 13:54:34+07","2022-04-18","2022-04-19","MAKE OVER BO Single 01 Pink Fantasist 6 g (Pc(s))","Next Process","Done","BO-SKPF01-MO6G","(not set)",""
"328","-","BO-SKPF01-MO6G/BSH0022","BO-SKPF01-MO6G/BSH0022","NDC","JADWAL BARU","1","2022-04-19 13:54:34+07","2022-04-18","2022-04-19","MAKE OVER BO Single 01 Pink Fantasist 6 g (Pc(s))","Next Process","Done","BO-SKPF01-MO6G","(not set)",""
"329","-","BO-SKPF01-MO6G/BSH0023","BO-SKPF01-MO6G/BSH0023","NDC","JADWAL BARU","1","2022-04-19 13:54:34+07","2022-04-18","2022-04-19","MAKE OVER BO Single 01 Pink Fantasist 6 g (Pc(s))","Next Process","Done","BO-SKPF01-MO6G","(not set)",""
"330","-","BO-SKPS03-MO6G/BSH0013","BO-SKPS03-MO6G/BSH0013","NDC","JADWAL BARU","1","2022-04-19 13:54:34+07","2022-04-18","2022-04-19","MAKE OVER BO Single 03 Promiscious Peach 6g (Pc(s))","Next Process","Done","BO-SKPS03-MO6G","(not set)",""
"331","-","BO-SKPS03-MO6G/BSH0014","BO-SKPS03-MO6G/BSH0014","NDC","JADWAL BARU","1","2022-04-19 13:54:34+07","2022-04-18","2022-04-19","MAKE OVER BO Single 03 Promiscious Peach 6g (Pc(s))","Next Process","Done","BO-SKPS03-MO6G","(not set)",""
"332","MO-L-EMC01-BULK/H0008","L-EMC01-W4GR/H0008","L-EMC01-W4GR/H0008","NDC","JADWAL BARU","1","2022-04-19 13:54:34+07","2022-04-14","2022-04-20","Wardah Exclusive Matte Lip Cream 01 Red-dicted 4 gr (Pc(s))","Next Process","Done","L-EMC01-W4GR","(not set)",""
"333","MO-L-EMC12-BULK/H0004","L-EMC12-W4GR/H0004","L-EMC12-W4GR/H0004","NDC","JADWAL BARU","1","2022-04-19 13:54:34+07","2022-04-13","2022-04-19","Wardah Exclusive Matte Lip Cream 12 Plum It Up 4 gr (Pc(s))","Next Process","Done","L-EMC12-W4GR","DI14A",""
"334","MO-L-LS-SR-BULK/H0019","LB-SR-EM4.2GR/H0019","LB-SR-EM4.2GR/H0019","QC BULK","MASUK SPESIFIKASI","1","2022-04-19 13:54:12+07","2022-04-18","2022-04-25","Emina Sugar Rush Lip Scrub 4.2 gr (Pc(s))","Next Process","Done","LB-SR-EM4.2GR","DI19A",""
"335","(not set)","MY-RDDCCDN-W/H0012","MY-RDDCCDN-W/H0012","QC FG","JADWAL BARU","1","2022-04-19 13:43:54+07","2022-04-19","2022-04-19","Malaysia Wardah C-defense DD Cream 02 Natural 20 ml","Next Process","Done","MY-RDDCCDN-W","(not set)",""
"336","MO-F-RELF02-BULK/H0004","MY-PRFRELF02-W/H0002","MY-PRFRELF02-W/H0002","QC FG","JADWAL BARU","1","2022-04-19 13:43:19+07","2022-04-11","2022-04-25","Twin Pack Malaysia Wardah Exclusive Liquid Foundation 02 Sheer Pink 20 ml","Next Process","Done","MY-PRFRELF02-W","DI12A",""
"337","(not set)","MY-RLEMC11-W/H0011","MY-RLEMC11-W/H0011","QC FG","JADWAL BARU","1","2022-04-19 13:42:37+07","2022-04-19","2022-04-20","Malaysia Wardah Exclusive Matte Lip Cream 11 Oh So Nude! 4 g","Next Process","Done","MY-RLEMC11-W","(not set)",""
"338","MO-M-PHAG-BULK/H0007","M-PHAG-EM20ML/H0007","M-PHAG-EM20ML/H0007","NDC","JADWAL BARU","1","2022-04-19 13:36:17+07","2022-04-14","2022-04-18","Emina Ms. Pimple Acne Solution Moisturizing Gel 20 ml","Next Process","Done","M-PHAG-EM20ML","DI16A",""
"339","MO-MC-P-BULK/H0006","MSS-P1C-P1/H0006","MSS-P1C-P1/H0006","NDC","JADWAL BARU","1","2022-04-19 13:36:17+07","2022-04-16","2022-04-19","Putri Massage Cream 1 KG (Pc(s))","Next Process","Done","MSS-P1C-P1","DI16A",""
"340","MO-TC-R3LLF01-BULK/H0031","TC-RR3LLF01-W/H0012","TC-RR3LLF01-W/H0012","PENIMBANGAN","JADWAL BARU","1","2022-04-19 13:36:00+07","2022-04-19","2022-04-22","Wardah Refill Lightening Powder Foundation Light Feel 01 Light Beige 12 g","Next Process","(not set)","TC-RR3LLF01-W","(not set)",""
"341","MO-B-HRFP-BULK/H0002","B-HRFP-MO/H0002","B-HRFP-MO/H0002","QC BULK","MASUK SPESIFIKASI","1","2022-04-19 13:30:16+07","2022-04-18","2022-04-21","MAKE OVER Hydrastay Radiant Finishing Powder 8 gr","Next Process","Done","B-HRFP-MO","DI19A",""
"342","(not set)","L-RCLCLS2-W/H0003","L-RCLCLS2-W/H0003","QC FG","JADWAL BARU","1","2022-04-19 13:27:33+07","2022-04-18","2022-04-19","Wardah Colorfit Fresh Lip Ink Serum 02 Smart Cookie 4 g","Next Process","Done","L-RCLCLS2-W","(not set)",""
"343","MO-A-DM-BULK/H0015","MY-RADM-W/H0003","MY-RADM-W/H0003","NDC","JADWAL BARU","1","2022-04-19 13:20:32+07","2022-04-14","2022-04-18","Malaysia Wardah Acnederm Day Moisturizer 40 ml","Next Process","Done","MY-RADM-W","DI15A",""
"344","MO-REM-PBTUMW-BULK/H0030","MY-RREMPBTUMW-W/H0003","MY-RREMPBTUMW-W/H0003","NDC","JADWAL BARU","1","2022-04-19 13:17:14+07","2022-04-12","2022-04-19","Malaysia Wardah Perfect Bright Tone Up Micellar Water 100 ml","Next Process","Done","MY-RREMPBTUMW-W","DI13A",""
"345","(not set)","L-RCLCLS6-W/H0002","L-RCLCLS6-W/H0002","QC FG","JADWAL BARU","1","2022-04-19 13:15:54+07","2022-04-19","2022-04-20","Wardah Colorfit Fresh Lip Ink Serum 06 Hyped Up 4 g","Next Process","Done","L-RCLCLS6-W","(not set)",""
"346","MO-FMI-AV-BULK/H0004","FMI-AV-EM/H0004","FMI-AV-EM/H0004","QC BULK","MASUK SPESIFIKASI","2","2022-04-19 13:12:03+07","2022-04-18","2022-04-21","Emina Aloe Vera Face Mist 60 ml","Next Process","Done","FMI-AV-EM","DI19A",""
"347","(not set)","MY-CUSCLCG-W/H0005","MY-CUSCLCG-W/H0005","KEMAS_2","PACKING","2","2022-04-19 12:59:00+07","2022-04-18","2022-04-19","Malaysia Wardah Colorfit Perfect Glow Cushion 42N Neutral Sand","Next Process","(not set)","MY-CUSCLCG-W","(not set)",""
"348","MO-FM-MCC-BULK/H0009","FM-MCC-W60ML/H0009","FM-MCC-W60ML/H0009","NDC","JADWAL BARU","1","2022-04-19 12:58:36+07","2022-04-14","2022-04-18","Wardah Nature Daily Mineral+ Clarifying Clay Mask 60 ml","Next Process","Done","FM-MCC-W60ML","DI15A",""
"349","MO-TC-R3LLF03-BULK/H0041","TC-R3LLF03-W/H0021","TC-R3LLF03-W/H0021","NDC","JADWAL BARU","1","2022-04-19 12:37:11+07","2022-04-14","2022-04-19","Wardah Lightening Powder Foundation Light Feel 03 Sheer Pink 12 g","Next Process","Done","TC-R3LLF03-W","DI18A",""
"350","MO-TC-R3LLF02-BULK/H0055","TC-RR3LLF02-W/H0023","TC-RR3LLF02-W/H0023","NDC","JADWAL BARU","1","2022-04-19 12:37:11+07","2022-04-13","2022-04-19","Wardah Refill Lightening Powder Foundation Light Feel 02 Golden Beige 12 g","Next Process","Done","TC-RR3LLF02-W","DI14B",""
"351","MO-TWC-CLFTG-BULK/H0004","TWC-CLFTG-W/H0004","TWC-CLFTG-W/H0004","NDC","JADWAL BARU","1","2022-04-19 12:37:11+07","2022-04-14","2022-04-19","Wardah Colorfit Velvet Powder Foundation 42N Neutral Sand 11 g","Next Process","Done","TWC-CLFTG-W","DI15A",""
"352","MO-BO-W1C-01-BULK/H0009","BO-W1C-W4GR/H0011","BO-W1C-W4GR/H0011/01/01","NDC","JADWAL BARU","1","2022-04-19 12:37:11+07","2022-04-12","2022-04-20","Wardah Blush On C 4 gr","Next Process","Done","BO-W1C-W4GR","DI12A",""
"353","MO-BO-W1C-02 BULK/H0008","BO-W1C-W4GR/H0011","BO-W1C-W4GR/H0011/02/01","NDC","JADWAL BARU","1","2022-04-19 12:37:11+07","2022-04-13","2022-04-20","Wardah Blush On C 4 gr","Next Process","Done","BO-W1C-W4GR","DI13A",""
"354","MO-L-REMA13-BULK/H0007","L-REMA13-W/H0007","L-REMA13-W/H0007","NDC","JADWAL BARU","1","2022-04-19 12:37:11+07","2022-04-13","2022-04-19","Wardah Exclusive Matte Lipstick 13 Cocoa Look 3.5 g","Next Process","Done","L-REMA13-W","DI14A",""
"355","MO-L-IMC002-BULK/H0009","L-IMC002-MO6,5G/H0009","L-IMC002-MO6,5G/H0009","QC BULK","MASUK SPESIFIKASI","1","2022-04-19 12:14:51+07","2022-04-18","2022-04-21","MAKE OVER Intense Matte Lip Cream 002 Heiress 6,5 g (Pc(s))","Next Process","Done","L-IMC002-MO6,5G","DI18A",""
"356","MO-LAR-LICODDC-BULK/H0022","LAR-LICODDC-BULK/H0022","LAR-LICODDC-BULK/H0022","PENGOLAHAN","OLAH 1","1","2022-04-19 11:59:00+07","2022-04-19","2022-04-21","Larutan Ekstrak Pemutih O Dalam Silikon 200/50","Next Process","(not set)","LAR-LICODDC-BULK","(not set)",""
"357","MO-WARN-S12YL-BULK/LH0012","WARN-S12YL-BULK/LH0012","WARN-S12YL-BULK/LH0012","QC BULK","MASUK SPESIFIKASI","1","2022-04-19 11:37:26+07","2022-04-18","2022-04-19","PAsta Warna S1-2 Yellow","Next Process","Done","WARN-S12YL-BULK","DI19A",""
"358","MO-A-BPCB-BULK/H0015","MY-RAPBB-W/H0009","MY-RAPBB-W/H0009","QC BULK","MASUK SPESIFIKASI","1","2022-04-19 11:26:10+07","2022-04-18","2022-04-21","Malaysia Wardah Acnederm Pore Blackhead Balm 20 g","Next Process","Done","MY-RAPBB-W","(not set)",""
"359","MO-A-DM-BULK/H0016","MY-RADM-W/H0004","MY-RADM-W/H0004","KEMAS_2","FILLING-PACKING_INLINE","1","2022-04-19 11:24:00+07","2022-04-14","2022-04-19","Malaysia Wardah Acnederm Day Moisturizer 40 ml","Next Process","(not set)","MY-RADM-W","DI15B",""
"360","(not set)","MY-LCVM10-W/H0008","MY-LCVM10-W/H0008","NDC","JADWAL BARU","1","2022-04-19 11:20:24+07","2022-04-14","2022-04-18","Malaysia Wardah Colorfit Velvet Matte Lip Mousse 10 Lively Coral 4 g","Next Process","Done","MY-LCVM10-W","(not set)",""
"361","","MY-SSSB45-EM/H0001","MY-SSSB45-EM/H0001","NDC","JADWAL BARU","1","2022-04-19 11:20:24+07","2022-04-18","2022-04-19","Malaysia Emina Sun Battle SPF 45 PA+++","Next Process","Done","MY-SSSB45-EM","(not set)",""
"362","(not set)","MY-RESI-W/H0011","MY-RESI-W/H0011","NDC","JADWAL BARU","1","2022-04-19 11:20:24+07","2022-04-18","2022-04-19","Malaysia Wardah Eye Shadow I 3.3 g","Next Process","Done","MY-RESI-W","(not set)",""
"363","","MY-CONSMULCA-EM/H0006","MY-CONSMULCA-EM/H0006","NDC","JADWAL BARU","1","2022-04-19 11:20:24+07","2022-04-18","2022-04-19","Malaysia Emina Squeeze Me Up Liquid Concealer Light 8 g","Next Process","Done","MY-CONSMULCA-EM","(not set)",""
"364","(not set)","MY-LCM03-EM/H0002","MY-LCM03-EM/H0002","NDC","JADWAL BARU","1","2022-04-19 11:20:24+07","2022-04-18","2022-04-18","Malaysia Emina Creamatte 03 Mauvelous 5.5 gr (Pc(s))","Next Process","Done","MY-LCM03-EM","(not set)",""
"365","(not set)","MY-BRBMLP01-EM/H0003","MY-BRBMLP01-EM/H0003","NDC","JADWAL BARU","1","2022-04-19 11:16:43+07","2022-04-18","2022-04-19","Malaysia Emina Bare With Me Mineral Loose Powder 01 Fair 8 g","Next Process","Done","MY-BRBMLP01-EM","(not set)",""
"366","(not set)","MY-RLEMC13-W/H0013","MY-RLEMC13-W/H0013","NDC","JADWAL BARU","1","2022-04-19 11:16:43+07","2022-04-18","2022-04-19","Malaysia Wardah Exclusive Matte Lip Cream 13 Fruit Punch 4 g","Next Process","Done","MY-RLEMC13-W","(not set)",""
"367","(not set)","MY-LBLMPB-EM/H0005","MY-LBLMPB-EM/H0005","NDC","JADWAL BARU","1","2022-04-19 11:16:43+07","2022-04-18","2022-04-19","Malaysia Emina Lip Mask Blister","Next Process","Done","MY-LBLMPB-EM","(not set)",""
"368","(not set)","MY-RESG-W/H0011","MY-RESG-W/H0011","NDC","JADWAL BARU","1","2022-04-19 11:16:43+07","2022-04-18","2022-04-18","Malaysia Wardah Eye Shadow G 3.3 g","Next Process","Done","MY-RESG-W","(not set)",""
"369","(not set)","MY-RESA-W/H0009","MY-RESA-W/H0009","NDC","JADWAL BARU","1","2022-04-19 11:16:43+07","2022-04-18","2022-04-18","Malaysia Wardah Eye Shadow A 3.3 g","Next Process","Done","MY-RESA-W","(not set)",""
"370","(not set)","MY-ESPRPPH-EM/H0002","MY-ESPRPPH-EM/H0002","NDC","JADWAL BARU","1","2022-04-19 11:16:43+07","2022-04-18","2022-04-19","Malaysia Emina Pop Rouge Pressed Eye Shadow Posh 3.3 gr (Pc(s))","Next Process","Done","MY-ESPRPPH-EM","(not set)",""
"371","(not set)","MY-RBOA-W/H0008","MY-RBOA-W/H0008","NDC","JADWAL BARU","1","2022-04-19 11:16:43+07","2022-04-18","2022-04-19","Malaysia Wardah Blush On A 4 g","Next Process","Done","MY-RBOA-W","(not set)",""
"372","(not set)","MY-BOCOCBSC-W/H0009","MY-BOCOCBSC-W/H0009","NDC","JADWAL BARU","1","2022-04-19 11:16:43+07","2022-04-18","2022-04-19","Malaysia Wardah Colorfit Cream Blush 01 SAND CORAL 3 g","Next Process","Done","MY-BOCOCBSC-W","(not set)",""
"373","(not set)","MY-RELESL-W/H0007","MY-RELESL-W/H0007","NDC","JADWAL BARU","1","2022-04-19 11:16:43+07","2022-04-18","2022-04-19","Malaysia Wardah EyeXpert Staylast Liquid Eyeliner 3.5 g","Next Process","Done","MY-RELESL-W","(not set)",""
"374","","MY-FBWMM01-EM/H0005","MY-FBWMM01-EM/H0005","NDC","JADWAL BARU","1","2022-04-19 11:16:43+07","2022-04-18","2022-04-19","Malaysia Emina Bare with Me Mineral Mild Foundation 01 Light 30 ml","Next Process","Done","MY-FBWMM01-EM","(not set)",""
"375","(not set)","MY-BBSLP-EM/H0001","MY-BBSLP-EM/H0001","NDC","JADWAL BARU","1","2022-04-19 11:16:43+07","2022-04-18","2022-04-19","Malaysia Emina Bright Stuff Loose Powder 55 g","Next Process","Done","MY-BBSLP-EM","(not set)",""
"376","(not set)","MY-RLREMA17-W/H0009","MY-RLREMA17-W/H0009","NDC","JADWAL BARU","1","2022-04-19 11:16:43+07","2022-04-18","2022-04-19","Malaysia Wardah Exclusive Matte Lipstick 17 Gorgeous Pink 3.5 g","Next Process","Done","MY-RLREMA17-W","(not set)",""
"377","MO-FT-LFT-BULK/H0057","FT-LFT-W/H0039","FT-LFT-W/H0039","QC BULK","MASUK SPESIFIKASI","1","2022-04-19 11:16:10+07","2022-04-18","2022-04-21","Wardah Lightening Face Toner 125 ml","Next Process","Done","FT-LFT-W","DI19A",""
"378","MO-LAR-LICODDC-BULK/H0021","LAR-LICODDC-BULK/H0021","LAR-LICODDC-BULK/H0021","QC BULK","MASUK SPESIFIKASI","1","2022-04-19 11:11:28+07","2022-04-14","2022-04-20","Larutan Ekstrak Pemutih O Dalam Silikon 200/50","Next Process","Done","LAR-LICODDC-BULK","DI18B",""
"379","MO-L-EMC02-BULK/H0005","L-EMC02-W4GR/H0005","L-EMC02-W4GR/H0005","QC BULK","MASUK SPESIFIKASI","1","2022-04-19 10:25:58+07","2022-04-18","2022-04-21","Wardah Exclusive Matte Lip Cream 02 Fuschionately 4 gr (pc(s))","Next Process","Done","L-EMC02-W4GR","DI18A",""
"380","MO-SS-PSMU-BULK/H0006","SS-PSMU-MO/H0006","SS-PSMU-MO/H0006","QC BULK","PENDING MIKRO","1","2022-04-19 10:19:02+07","2022-04-16","2022-04-26","Make Over Powerskin Urban Defense Sunscreen 40 ml","Next Process","Done","SS-PSMU-MO","DI18A",""
"381","MO-PRM-PCCYW-BULK/H0003","PRM-PCCYW-MO/H0003","PRM-PCCYW-MO/H0003","NDC","JADWAL BARU","1","2022-04-19 10:07:59+07","2022-03-19","2022-03-24","MAKE OVER POWERSTAY Color Correcting Primer Yellow 25 ml","Next Process","Done","PRM-PCCYW-MO","CI21A",""
"382","MO-SS-UVSDS-BULK/H0071","SS-UVSDSPB-W/H0064","SS-UVSDSPB-W/H0064","NDC","JADWAL BARU","1","2022-04-19 10:07:59+07","2022-04-14","2022-04-19","Wardah UV Shield Essential Sunscreen Gel SPF 30 (New Blister)","Next Process","Done","SS-UVSDSPB-W","DI14B",""
"383","MO-WARN-A450TDMS-BULK/H0015","WARN-A450TDMS-BULK/H0015","WARN-A450TDMS-BULK/H0015","QC BULK","MASUK SPESIFIKASI","1","2022-04-19 09:59:41+07","2022-04-18","2022-04-20","Monokrom serbuk C33-450M","Next Process","Done","WARN-A450TDMS-BULK","DI19A",""
"384","MO-CUS-HLGN10-BULK/H0005","CUS-HLGN10-MO/BSH0002","CUS-HLGN10-MO/BSH0002","QC BULK","PENDING","5","2022-04-19 09:59:35+07","2022-04-11","2022-04-19","MAKE OVER Hydrastay Lite Glow Cushion N10 Marble 15 g","Next Process","Done","CUS-HLGN10-MO","(not set)",""
"385","MO-L-CM14-BULK/H0002","L-CM14-EM5.5GR/H0002","L-CM14-EM5.5GR/H0002","NDC","JADWAL BARU","1","2022-04-19 09:51:36+07","2022-04-13","2022-04-18","Emina Creamatte 14 Gingerale 5.5 gr","Next Process","Done","L-CM14-EM5.5GR","(not set)",""
"386","MO-L-CVM05-BULK/H0008","L-CVM05-W/H0008","L-CVM05-W/H0008","NDC","JADWAL BARU","1","2022-04-19 09:51:36+07","2022-04-13","2022-04-20","Wardah Colorfit Velvet Matte Lip Mousse 05 Artisan Mauve 4 g","Next Process","Done","L-CVM05-W","DI14A",""
"387","MO-L-REMA12-BULK/H0005","L-REMA12-W/H0005","L-REMA12-W/H0005","NDC","JADWAL BARU","1","2022-04-19 09:51:36+07","2022-04-12","2022-04-19","Wardah Exclusive Matte Lipstick 12 Maroon 3.5 g","Next Process","Done","L-REMA12-W","DI13A",""
"388","-","TC-RRE04-W/BSH0001","TC-RRE04-W/BSH0001","NDC","JADWAL BARU","1","2022-04-19 09:51:36+07","2022-04-18","2022-04-22","Wardah Refill Exclusive Two Way Cake 04 Natural 12 g","Next Process","Done","TC-RRE04-W","(not set)",""
"389","MO-L-CM06-BULK/H0004","L-CM06-EM5.5GR/H0004","L-CM06-EM5.5GR/H0004","NDC","JADWAL BARU","1","2022-04-19 09:51:36+07","2022-04-13","2022-04-19","Emina Creamatte 06 Jelly Bean 5.5 gr (Pc(s))","Next Process","Done","L-CM06-EM5.5GR","DI14A",""
"390","MO-L-CUSH06-BULK/H0003","L-CUSH06-EM/H0003","L-CUSH06-EM/H0003","NDC","JADWAL BARU","1","2022-04-19 09:51:36+07","2022-04-13","2022-04-19","Emina Lip Cushion 06. Coffee Please 9 g","Next Process","Done","L-CUSH06-EM","DI15A",""
"391","-","TC-RRE03-W/BSH0005","TC-RRE03-W/BSH0005","NDC","JADWAL BARU","1","2022-04-19 09:51:36+07","2022-04-18","2022-04-22","Wardah Refill Exclusive Two Way Cake 03 Sandy Beige 12 g","Next Process","Done","TC-RRE03-W","(not set)",""
"392","-","A-FP-W20G/BSH0007","A-FP-W20G/BSH0007","NDC","JADWAL BARU","1","2022-04-19 09:51:36+07","2022-04-18","2022-04-22","Wardah Acnederm Face Powder 20 g (Pc(s))","Next Process","Done","A-FP-W20G","(not set)",""
"393","MO-LAR-LICODDC-BULK/H0020","LAR-LICODDC-BULK/H0020","LAR-LICODDC-BULK/H0020","QC BULK","MASUK SPESIFIKASI","1","2022-04-19 09:37:44+07","2022-04-14","2022-04-20","Larutan Ekstrak Pemutih O Dalam Silikon 200/50","Next Process","Done","LAR-LICODDC-BULK","DI18A",""
"394","MO-SS-UVSDS-BULK/H0074","MY-UVSESG-W/H0009","MY-UVSESG-W/H0009","NDC","JADWAL BARU","1","2022-04-19 09:14:44+07","2022-04-14","2022-04-18","Malaysia Wardah UV Shield Essential Sunscreen Gel SPF 30 40 ml","Next Process","Done","MY-UVSESG-W","DI15B",""
"395","MO-FM-NDAAB-BULK/H0001","FM-NDAAB-W/H0001","FM-NDAAB-W/H0001","NDC","JADWAL BARU","1","2022-04-19 09:01:54+07","2022-04-14","2022-04-18","Wardah Nature Daily Amazonian Acai Berry Antioxidant Capsule Mask 10 ml","Next Process","Done","FM-NDAAB-W","DI14A",""
"396","MO-REM-SBMW-BULK/H0034","REM-SBMW-W240ML/H0020","REM-SBMW-W240ML/H0020","NDC","JADWAL BARU","1","2022-04-19 09:01:54+07","2022-04-16","2022-04-18","Wardah Nature Daily Seaweed Cleansing Micellar Water 240 ml","Next Process","Done","REM-SBMW-W240ML","DI16A",""
"397","MO-FW-PCSAC-BULK/H0051","FW-PCSACSEC-KA/H0026","FW-PCSACSEC-KA/H0026","NDC","JADWAL BARU","1","2022-04-19 08:59:45+07","2022-04-12","2022-04-21","Kahf Oil and Acne Care Face Wash with Sticker Eye Catch 100 ml","Next Process","Done","FW-PCSACSEC-KA","DI13A",""
"398","(not set)","MY-LTCR02-EM/H0002","MY-LTCR02-EM/H0002","QC FG","JADWAL BARU","1","2022-04-19 08:43:56+07","2022-04-19","2022-04-19","Malaysia Emina Creamytint 02 Peach Crush 3.6 g","Next Process","Done","MY-LTCR02-EM","(not set)",""
"399","(not set)","MY-RTCIPMFPF13-W/H0007","MY-RTCIPMFPF13-W/H0007","QC FG","JADWAL BARU","1","2022-04-19 08:41:46+07","2022-04-19","2022-04-19","Malaysia Wardah Instaperfect MATTE FIT Powder Foundation 13 BEIGE 13 g","Next Process","Done","MY-RTCIPMFPF13-W","(not set)",""
"400","(not set)","MY-SRMRWSIBS-W/H0004","MY-SRMRWSIBS-W/H0004","NDC","JADWAL BARU","1","2022-04-19 08:32:53+07","2022-04-18","2022-04-19","Malaysia Wardah Crystal Secret Dark Spot &amp; Brightening Serum 20 ml","Next Process","Done","MY-SRMRWSIBS-W","(not set)",""
"401","(not set)","MY-FCLCME-W/H0009","MY-FCLCME-W/H0009","NDC","JADWAL BARU","1","2022-04-19 08:32:53+07","2022-04-18","2022-04-18","Malaysia Wardah Colorfit Matte Foundation 33W Olive Beige 25 ml","Next Process","Done","MY-FCLCME-W","(not set)",""
"402","(not set)","MY-RLEVCL03-W/H0006","MY-RLEVCL03-W/H0006","NDC","JADWAL BARU","1","2022-04-19 08:30:46+07","2022-04-14","2022-04-18","Malaysia Wardah Everyday Cheek and Lip Tint 03 Pink on Point! 5.5 g","Next Process","Done","MY-RLEVCL03-W","(not set)",""
"403","(not set)","MY-RCUSEFC04-W/H0007","MY-RCUSEFC04-W/H0007","NDC","JADWAL BARU","1","2022-04-19 08:30:46+07","2022-04-18","2022-04-18","Malaysia Wardah Exclusive Flawless Cover Cushion 04 Natural 15 g","Next Process","Done","MY-RCUSEFC04-W","(not set)",""
"404","(not set)","MY-RBBCLNN2-W/H0012","MY-RBBCLNN2-W/H0012","NDC","JADWAL BARU","1","2022-04-19 08:30:46+07","2022-04-18","2022-04-18","Malaysia Wardah Lightening BB Cream Natural 15 ml","Next Process","Done","MY-RBBCLNN2-W","(not set)",""
"405","(not set)","MY-MRWSNCN2-W/H0003","MY-MRWSNCN2-W/H0003","NDC","JADWAL BARU","1","2022-04-19 08:30:46+07","2022-04-18","2022-04-19","Malaysia Wardah Crystal Secret Bright Activating Night Cream 30 g","Next Process","Done","MY-MRWSNCN2-W","(not set)",""
"406","(not set)","MY-RBBCLLN2-W/H0013","MY-RBBCLLN2-W/H0013","NDC","JADWAL BARU","1","2022-04-19 08:30:46+07","2022-04-18","2022-04-18","Malaysia Wardah Lightening BB Cream Light 15 ml","Next Process","Done","MY-RBBCLLN2-W","(not set)",""
"407","","MY-LBSTSPC-EM/H0004","MY-LBSTSPC-EM/H0004","NDC","JADWAL BARU","1","2022-04-19 08:30:46+07","2022-04-18","2022-04-18","Malaysia Emina Oh So Kissable Tinted Balm Stick Plum Candy 3.4 g","Next Process","Done","MY-LBSTSPC-EM","(not set)",""
"408","","MY-RREMEEM-W/H0007","MY-RREMEEM-W/H0007","NDC","JADWAL BARU","1","2022-04-19 08:30:46+07","2022-04-14","2022-04-14","Malaysia Wardah EyeXpert Eye &amp; Lip Makeup Remover 100 ml","Next Process","Done","MY-RREMEEM-W","(not set)",""
"409","(not set)","MY-LTCR01-EM/H0002","MY-LTCR01-EM/H0002","NDC","JADWAL BARU","1","2022-04-19 08:30:46+07","2022-04-18","2022-04-19","Malaysia Emina Creamytint 01 Brick Town 3.6 g","Next Process","Done","MY-LTCR01-EM","(not set)",""
